"row_number","medicine_label","medicine_value","brand_guess","strength_guess","source_url","scraped_at_utc"
"28","ACTAFON 80mg Comp.Orodisp. Bt 20","ACTAFON 80mg Comp.Orodisp. Bt 20","ACTAFON","80mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"29","ACTAPULGITE Enf. Et Ad. 3gr Pdre.Susp.Or. Bt 100Sach.","ACTAPULGITE Enf. Et Ad. 3gr Pdre.Susp.Or. Bt 100Sach.","ACTAPULGITE Enf. Et Ad.","3g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"30","ACTAPULGITE ENFANTS ET ADULTES 3gr Pdre.P.Susp.Or. Bt 16Sach.","ACTAPULGITE ENFANTS ET ADULTES 3gr Pdre.P.Susp.Or. Bt 16Sach.","ACTAPULGITE ENFANTS ET ADULTES","3g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"31","ACTAPULGITE Nourr. 1gr Pdre.Susp.Or. Bt 20sach","ACTAPULGITE Nourr. 1gr Pdre.Susp.Or. Bt 20sach","ACTAPULGITE Nourr.","1g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"32","ACTEMRA 162mg/0.9ml Sol.Inj. Sous Cutanée Bt 4Ser. Pré-remplis (F)","ACTEMRA 162mg/0.9ml Sol.Inj. Sous Cutanée Bt 4Ser. Pré-remplis (F)","ACTEMRA","162mg/0.9ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"33","ACTEMRA 200mg/10ml Sol.Inj.P.Perf. Bt 1Fl/10ml (F)","ACTEMRA 200mg/10ml Sol.Inj.P.Perf. Bt 1Fl/10ml (F)","ACTEMRA","200mg/10ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"34","ACTEMRA 400mg/20ml Sol.Inj.P.Perf. Bt 1Fl/20ml (F)","ACTEMRA 400mg/20ml Sol.Inj.P.Perf. Bt 1Fl/20ml (F)","ACTEMRA","400mg/20ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"35","ACTEMRA 80mg/4ml Sol.Inj.P.Perf. Bt 1Fl/4ml (F)","ACTEMRA 80mg/4ml Sol.Inj.P.Perf. Bt 1Fl/4ml (F)","ACTEMRA","80mg/4ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"36","ACTHEANE Comp. Bt 120","ACTHEANE Comp. Bt 120","ACTHEANE","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"37","ACTIFED RHUME Comp. Bt 20","ACTIFED RHUME Comp. Bt 20","ACTIFED","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
