"row_number","medicine_label","medicine_value","brand_guess","strength_guess","source_url","scraped_at_utc"
"379","ARAVEN 150mg Comp.Pell. Bt 30","ARAVEN 150mg Comp.Pell. Bt 30","ARAVEN","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"380","ARAVEN 150mg Comp.Pell. Bt 90","ARAVEN 150mg Comp.Pell. Bt 90","ARAVEN","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"381","ARAVEN 300mg Comp.Pell. Bt 30","ARAVEN 300mg Comp.Pell. Bt 30","ARAVEN","300mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"382","ARAVEN 300mg Comp.Pell. Bt 90","ARAVEN 300mg Comp.Pell. Bt 90","ARAVEN","300mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"383","ARAVEN IC 150mg/5mg Comp.Pell. Bt 28","ARAVEN IC 150mg/5mg Comp.Pell. Bt 28","ARAVEN IC","150mg/5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"384","ARAVEN IC 150mg/5mg Comp.Pell. Bt 30","ARAVEN IC 150mg/5mg Comp.Pell. Bt 30","ARAVEN IC","150mg/5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"385","ARAVEN IC 150mg/5mg Comp.Pell. Bt 90","ARAVEN IC 150mg/5mg Comp.Pell. Bt 90","ARAVEN IC","150mg/5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"386","ARAVEN IC 300mg/10mg Comp.Pell. Bt 30","ARAVEN IC 300mg/10mg Comp.Pell. Bt 30","ARAVEN IC","300mg/10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"387","ARAVEN IC 300mg/10mg Comp.Pell. Bt 90","ARAVEN IC 300mg/10mg Comp.Pell. Bt 90","ARAVEN IC","300mg/10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"388","ARAVEN IC 300mg/5mg Comp.Pell. Bt 90","ARAVEN IC 300mg/5mg Comp.Pell. Bt 90","ARAVEN IC","300mg/5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"389","ARAVEN IC 300mg/5mg Comp.Pell. Bt 30","ARAVEN IC 300mg/5mg Comp.Pell. Bt 30","ARAVEN IC","300mg/5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"390","ARGINO-B Comp.Pell. Bt 24","ARGINO-B Comp.Pell. Bt 24","ARGINO-B","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"391","ARHIN 1% Sol.Buv. Fl 15ml","ARHIN 1% Sol.Buv. Fl 15ml","ARHIN","1%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"392","ARICEPT 10mg Comp.Pell. Bt 28","ARICEPT 10mg Comp.Pell. Bt 28","ARICEPT","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"393","ARICEPT 5mg Comp.Pell. Bt 28","ARICEPT 5mg Comp.Pell. Bt 28","ARICEPT","5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"394","ARIMIDEX 1mg Comp.Pell. Bt 30","ARIMIDEX 1mg Comp.Pell. Bt 30","ARIMIDEX","1mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"395","ARIZIL 10mg Comp.Pell. Bt 30","ARIZIL 10mg Comp.Pell. Bt 30","ARIZIL","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"396","ARIZIL 5mg Comp.Pell. Bt 30","ARIZIL 5mg Comp.Pell. Bt 30","ARIZIL","5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"397","ARNIGEL Gel Derm. Tb 45gr","ARNIGEL Gel Derm. Tb 45gr","ARNIGEL Gel Derm. Tb","45g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"398","AROMAPLEX 25mg Comp.Pell. Bt 30","AROMAPLEX 25mg Comp.Pell. Bt 30","AROMAPLEX","25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"399","AROMASINE 25mg Comp.Enr. Bt 30","AROMASINE 25mg Comp.Enr. Bt 30","AROMASINE","25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"400","ARTANE 10mg Sol.Inj. Bt 5/5ml","ARTANE 10mg Sol.Inj. Bt 5/5ml","ARTANE","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"401","ARTELAC 3.20mg Collyre Fl 10ml","ARTELAC 3.20mg Collyre Fl 10ml","ARTELAC","3.20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"402","ARTHROSYL 0.5% Gel Derm.Tb 50gr","ARTHROSYL 0.5% Gel Derm.Tb 50gr","ARTHROSYL","0.5%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"403","ARTHROSYL 10mg Gél. Bt 30","ARTHROSYL 10mg Gél. Bt 30","ARTHROSYL","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"404","ARTHROSYL 20mg Gél. Bt 20","ARTHROSYL 20mg Gél. Bt 20","ARTHROSYL","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"405","ARTIBREX 200mg Gél. Bt 10","ARTIBREX 200mg Gél. Bt 10","ARTIBREX","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"406","ARTIBREX 200mg Gél. Bt 20","ARTIBREX 200mg Gél. Bt 20","ARTIBREX","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"407","ARTIBREX 200mg Gél. Bt 30","ARTIBREX 200mg Gél. Bt 30","ARTIBREX","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"408","ARTOTEC 50mg/0.2mg Comp.Gastro-résist. Bt 30","ARTOTEC 50mg/0.2mg Comp.Gastro-résist. Bt 30","ARTOTEC","50mg/0.2mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"409","ARTOTEC 75mg/0.2mg Comp.Gastro-résist. Bt 20","ARTOTEC 75mg/0.2mg Comp.Gastro-résist. Bt 20","ARTOTEC","75mg/0.2mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"410","AS-ONE 100mg Comp.Pell. Bt 4","AS-ONE 100mg Comp.Pell. Bt 4","AS-ONE","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"411","AS-ONE 25mg Comp.Pell. Bt 4","AS-ONE 25mg Comp.Pell. Bt 4","AS-ONE","25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"412","AS-ONE 50mg Comp.Pell. Bt 4","AS-ONE 50mg Comp.Pell. Bt 4","AS-ONE","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"413","ASCABIOL Lotion Fl 125ml","ASCABIOL Lotion Fl 125ml","ASCABIOL Lotion Fl","125ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"414","ASCALOL Lotion 25% Fl 125ml","ASCALOL Lotion 25% Fl 125ml","ASCALOL Lotion","25%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"415","ASCALOL Lotion Fl 125ml","ASCALOL Lotion Fl 125ml","ASCALOL Lotion Fl","125ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"416","ASCAPOUDRE 0.4% Pdre.Us.Ext. Fl 100gr","ASCAPOUDRE 0.4% Pdre.Us.Ext. Fl 100gr","ASCAPOUDRE","0.4%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"417","ASMULAIR 10mg Comp.Pell. Bt 30","ASMULAIR 10mg Comp.Pell. Bt 30","ASMULAIR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"418","ASMULAIR 5mg Comp. à Croquer Bt 30","ASMULAIR 5mg Comp. à Croquer Bt 30","ASMULAIR","5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"419","ASPEGIC 0.500gr Pdre.P.Prép.Inj. Bt 20Fl","ASPEGIC 0.500gr Pdre.P.Prép.Inj. Bt 20Fl","ASPEGIC","0.500g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"420","ASPEGIC 100mg Pdre.P.Sol.Or. Bt 30","ASPEGIC 100mg Pdre.P.Sol.Or. Bt 30","ASPEGIC","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"421","ASPEGIC 1gr Pdre.P.Prép.Inj. Bt 6+S/5ml","ASPEGIC 1gr Pdre.P.Prép.Inj. Bt 6+S/5ml","ASPEGIC","1g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"422","ASPEGIC 1gr Pdre.Prép.Inj. Bt 6+Solv./5ml","ASPEGIC 1gr Pdre.Prép.Inj. Bt 6+Solv./5ml","ASPEGIC","1g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"423","ASPEGIC 250mg Pdre.P.Sol.Or. Bt 16","ASPEGIC 250mg Pdre.P.Sol.Or. Bt 16","ASPEGIC","250mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"424","ASPEGIC 250mg Pdre.P.Sol.Or. Bt 20Sach.","ASPEGIC 250mg Pdre.P.Sol.Or. Bt 20Sach.","ASPEGIC","250mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"425","ASPEGIC 500mg Pdre.P.Sol.Or. Bt 16","ASPEGIC 500mg Pdre.P.Sol.Or. Bt 16","ASPEGIC","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"426","ASPEGIC 500mg Pdre.Sol.Or. Bt 20 Sachets","ASPEGIC 500mg Pdre.Sol.Or. Bt 20 Sachets","ASPEGIC","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"427","ASPEGIC ADULTES 1000mg Pdre.P.Sol.Or. Bt 20","ASPEGIC ADULTES 1000mg Pdre.P.Sol.Or. Bt 20","ASPEGIC ADULTES","1000mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"428","ASPEGIC ADULTES 1000mg Pdre.P.Sol.Or. Bt 20 Sachets","ASPEGIC ADULTES 1000mg Pdre.P.Sol.Or. Bt 20 Sachets","ASPEGIC ADULTES","1000mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"429","ASPIRINE 500mg Comp. Bt 20","ASPIRINE 500mg Comp. Bt 20","ASPIRINE","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"430","ASPIRINE 500mg Comp. Bt 500","ASPIRINE 500mg Comp. Bt 500","ASPIRINE","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"431","ASPIRINE PH 8 500mg Comp.Pell. Bt 20","ASPIRINE PH 8 500mg Comp.Pell. Bt 20","ASPIRINE PH 8","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"432","ASTAIR 10mg Comp.Pell. Bt 30","ASTAIR 10mg Comp.Pell. Bt 30","ASTAIR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"433","ASTAIR 5mg Comp. à Croquer Bt 30","ASTAIR 5mg Comp. à Croquer Bt 30","ASTAIR","5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"434","ASTRADOL 100mg/2ml Sol.Inj. Bt 5/2ml","ASTRADOL 100mg/2ml Sol.Inj. Bt 5/2ml","ASTRADOL","100mg/2ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"435","ASTRADOL 100mg/ml Gttes.Buv. Fl 10ml","ASTRADOL 100mg/ml Gttes.Buv. Fl 10ml","ASTRADOL","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"436","ASTRADOL 50mg Gél. Bt 10","ASTRADOL 50mg Gél. Bt 10","ASTRADOL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"437","ASTRADOL 50mg Gél. Bt 30","ASTRADOL 50mg Gél. Bt 30","ASTRADOL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"438","ASTRADOL LP 100mg Comp. Bt 10","ASTRADOL LP 100mg Comp. Bt 10","ASTRADOL LP","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"439","ATACAND 16mg Comp.Séc. Bt 30","ATACAND 16mg Comp.Séc. Bt 30","ATACAND","16mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"440","ATACAND 4mg Comp.Séc. Bt 30","ATACAND 4mg Comp.Séc. Bt 30","ATACAND","4mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"441","ATACAND 8mg Comp.Séc. Bt 30","ATACAND 8mg Comp.Séc. Bt 30","ATACAND","8mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"442","ATARAX 100mg Sol.Inj. Bt 6/2ml","ATARAX 100mg Sol.Inj. Bt 6/2ml","ATARAX","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"443","ATARAX 10mg/5ml Sirop Fl 200ml","ATARAX 10mg/5ml Sirop Fl 200ml","ATARAX","10mg/5ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"444","ATARAX 25mg Comp.Pell.Séc. Bt 30","ATARAX 25mg Comp.Pell.Séc. Bt 30","ATARAX","25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"445","ATENAD 100mg Comp.Pell.Séc. Bt 30","ATENAD 100mg Comp.Pell.Séc. Bt 30","ATENAD","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"446","ATENOR 100mg Comp. Bt 30","ATENOR 100mg Comp. Bt 30","ATENOR","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"447","ATENOR 50mg Comp. Bt 30","ATENOR 50mg Comp. Bt 30","ATENOR","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"448","ATEPADENE 30mg Gél. Bt 30","ATEPADENE 30mg Gél. Bt 30","ATEPADENE","30mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"449","ATIMOS 12µg Sol.P.Inha. Fl 100Doses (F)","ATIMOS 12µg Sol.P.Inha. Fl 100Doses (F)","ATIMOS","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"450","ATOR 10mg Comp.Pell. Bt 28","ATOR 10mg Comp.Pell. Bt 28","ATOR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"451","ATOR 10mg Comp.Pell. Bt 30","ATOR 10mg Comp.Pell. Bt 30","ATOR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"452","ATOR 10mg Comp.Pell. Bt 56","ATOR 10mg Comp.Pell. Bt 56","ATOR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"453","ATOR 10mg Comp.Pell. Bt 90","ATOR 10mg Comp.Pell. Bt 90","ATOR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"454","ATOR 10mg Comp.Pell. Bt 91","ATOR 10mg Comp.Pell. Bt 91","ATOR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"455","ATOR 20mg Comp.Pell. Bt 30","ATOR 20mg Comp.Pell. Bt 30","ATOR","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"456","ATOR 20mg Comp.Pell. Bt 90","ATOR 20mg Comp.Pell. Bt 90","ATOR","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"457","ATOR 40mg Comp.Pell. Bt 56","ATOR 40mg Comp.Pell. Bt 56","ATOR","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"458","ATOR 40mg Comp.Pell. Bt 92","ATOR 40mg Comp.Pell. Bt 92","ATOR","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"459","ATOR 40mg Comp.Pell.Séc. Bt 28","ATOR 40mg Comp.Pell.Séc. Bt 28","ATOR","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"460","ATOR 40mg Comp.Pell.Séc. Bt 30","ATOR 40mg Comp.Pell.Séc. Bt 30","ATOR","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"461","ATOR 40mg Comp.Pell.Séc. Bt 90","ATOR 40mg Comp.Pell.Séc. Bt 90","ATOR","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"462","ATOR 80mg Comp.Pell. Bt 30","ATOR 80mg Comp.Pell. Bt 30","ATOR","80mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"463","ATOR 80mg Comp.Pell. Bt 90","ATOR 80mg Comp.Pell. Bt 90","ATOR","80mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"464","ATORVEX 10mg Comp.Pell. Fl 30","ATORVEX 10mg Comp.Pell. Fl 30","ATORVEX","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"465","ATORVEX 10mg Comp.Pell. Fl 90","ATORVEX 10mg Comp.Pell. Fl 90","ATORVEX","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"466","ATORVEX 20mg Comp.Pell. Fl 30","ATORVEX 20mg Comp.Pell. Fl 30","ATORVEX","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"467","ATORVEX 20mg Comp.Pell. Fl 90","ATORVEX 20mg Comp.Pell. Fl 90","ATORVEX","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"468","ATORVEX 40mg Comp.Pell. Fl 30","ATORVEX 40mg Comp.Pell. Fl 30","ATORVEX","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"469","ATORVEX 40mg Comp.Pell. Fl 90","ATORVEX 40mg Comp.Pell. Fl 90","ATORVEX","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"470","ATRACURIUM MEDIS 25 25mg Sol.Inj. Bt 50/2.5ml (F)","ATRACURIUM MEDIS 25 25mg Sol.Inj. Bt 50/2.5ml (F)","ATRACURIUM MEDIS 25","25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"471","ATRACURIUM MEDIS 50 50mg Sol.Inj. Bt 50/5ml (F)","ATRACURIUM MEDIS 50 50mg Sol.Inj. Bt 50/5ml (F)","ATRACURIUM MEDIS 50","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"472","ATRICAN 250mg Caps. Molle Bt 8","ATRICAN 250mg Caps. Molle Bt 8","ATRICAN","250mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"473","ATROALDO 20mcg/doses Sol.P.Inhal. Fl 10ml/200doses","ATROALDO 20mcg/doses Sol.P.Inhal. Fl 10ml/200doses","ATROALDO","20mcg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"474","ATROPINE SAIPH 0.25mg/ml Sol.Inj. Bt 10/1ml","ATROPINE SAIPH 0.25mg/ml Sol.Inj. Bt 10/1ml","ATROPINE SAIPH","0.25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"475","ATROPINE UNIMED 1% Collyre Fl 5ml","ATROPINE UNIMED 1% Collyre Fl 5ml","ATROPINE UNIMED","1%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"476","ATROVAST 10 10mg Comp.Pell. Bt 30","ATROVAST 10 10mg Comp.Pell. Bt 30","ATROVAST 10","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"477","ATROVAST 20 20mg Comp.Pell.Séc. Bt 30","ATROVAST 20 20mg Comp.Pell.Séc. Bt 30","ATROVAST 20","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"478","ATROVAST 40 40mg Comp.Pell.Séc. Bt 30","ATROVAST 40 40mg Comp.Pell.Séc. Bt 30","ATROVAST 40","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"479","ATROVAST 80 80mg Comp.Pell.Séc. Bt 30","ATROVAST 80 80mg Comp.Pell.Séc. Bt 30","ATROVAST 80","80mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"480","AUBAGIO 14mg Comp.Pell. Bt 28","AUBAGIO 14mg Comp.Pell. Bt 28","AUBAGIO","14mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"481","AUGMENTIN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml+Ser.Dos.","AUGMENTIN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml+Ser.Dos.","AUGMENTIN","100mg/12.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"482","AUGMENTIN 1gr/125mg Pdre.P.Susp.Or. Bt 24 Sachets-doses","AUGMENTIN 1gr/125mg Pdre.P.Susp.Or. Bt 24 Sachets-doses","AUGMENTIN","1g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"483","AUGMENTIN 500mg/50mg Pdre.P.Prép.Inj. Bt 10 Fl SS","AUGMENTIN 500mg/50mg Pdre.P.Prép.Inj. Bt 10 Fl SS","AUGMENTIN","500mg/50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"484","AUGMENTIN 8/1 Ad. 500mg/62.5mg Comp.Pell. Bt 16","AUGMENTIN 8/1 Ad. 500mg/62.5mg Comp.Pell. Bt 16","AUGMENTIN 8/1 Ad.","500mg/62.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"485","AUGMENTIN 8/1 Ad. 500mg/62.5mg Comp.Pell. Bt 24","AUGMENTIN 8/1 Ad. 500mg/62.5mg Comp.Pell. Bt 24","AUGMENTIN 8/1 Ad.","500mg/62.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"486","AUGMENTIN Ad. 1gr/125mg Pdre.P.Susp.Or. Bt 12 Sachets-doses","AUGMENTIN Ad. 1gr/125mg Pdre.P.Susp.Or. Bt 12 Sachets-doses","AUGMENTIN Ad.","1g","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"487","AUGMENTIN ENFANT 500mg/62.5mg Pdre.P.Susp.Or. Bt 12Sach.-Doses","AUGMENTIN ENFANT 500mg/62.5mg Pdre.P.Susp.Or. Bt 12Sach.-Doses","AUGMENTIN ENFANT","500mg/62.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"488","AUGMENTIN ENFANT 500mg/62.5mg Pdre.P.Susp.Or. Bt 24Sach.-Doses","AUGMENTIN ENFANT 500mg/62.5mg Pdre.P.Susp.Or. Bt 24Sach.-Doses","AUGMENTIN ENFANT","500mg/62.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"489","AUGMENTIN Nourr. 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 30ml + Pipette","AUGMENTIN Nourr. 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 30ml + Pipette","AUGMENTIN Nourr.","100mg/12.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"490","AUREOMYCINE SPECIA 3% Pde Derm. Tb 15gr","AUREOMYCINE SPECIA 3% Pde Derm. Tb 15gr","AUREOMYCINE SPECIA","3%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"491","AURICULARUM Pdre. Auricu. Fl/ 1Fl Pdre.+Slvt/10ml","AURICULARUM Pdre. Auricu. Fl/ 1Fl Pdre.+Slvt/10ml","AURICULARUM Pdre. Auricu. Fl/ 1Fl Pdre.+Slvt/","10ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"492","AURIPAX Gttes.Auric. Fl 15ml","AURIPAX Gttes.Auric. Fl 15ml","AURIPAX Gttes.Auric. Fl","15ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
