brand_name,inn_raw,full_text,strength
ADONTAG,,ADONTAG 150mg Gél. Bt 60,150mg
ADONTAG,,ADONTAG 150mg Gél. Fl 14,150mg
ADONTAG,,ADONTAG 150mg Gél. Fl 28,150mg
ADONTAG,,ADONTAG 150mg Gél. Fl 56,150mg
ADONTAG,,ADONTAG 75mg Gél. Fl 14,75mg
ADONTAG,,ADONTAG 75mg Gél. Fl 30,75mg
ADRENALINE,,ADRENALINE MEDIS sans conservateur 1mg/1ml Sol.Inj. Bt 10/1ml,1mg
ADRENALINE,,ADRENALINE SOPHARMA 1mg/ml Sol.Inj. Bt 10/1ml,1mg
ADRENOL,Avec sulfite,ADRENOL 1 (Avec sulfite) 1mg/ml Sol.Inj. Bt 100 Amp./1ml,1mg
ADRENOL,sans sulfites,ADRENOL 1 (sans sulfites) 1mg/ml Sol.Inj. Bt 100/1ml,1mg
ADRIBLASTINE,F,ADRIBLASTINE 10mg/5ml Sol.P.Perf. Bt 1Fl/5ml (F),10mg
ADRIBLASTINE,F,ADRIBLASTINE 50mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml (F),50mg
ADVAGRAF,,ADVAGRAF LP 0.5mg Gél. à libération prolongée Bt 100,5mg
ADYBREX,,ADYBREX 200mg Gél. Bt 10,200mg
ADYBREX,,ADYBREX 200mg Gél. Bt 20,200mg
ADYBREX,,ADYBREX 200mg Gél. Bt 30,200mg
ADYFLU,,ADYFLU 75mg Gél. Bt 10,75mg
AERIUS,,AERIUS 0.5mg/ml Sol.Buv. Fl 150ml,5mg
AERIUS,,AERIUS 5mg Comp.Pell. Bt 15,5mg
AEROFOR,,AEROFOR 12µg Gél. Bt 30 +Inhalateur,12µg
AEROFOR,,AEROFOR 12µg Gél. Bt 60 +Inhalateur,12µg
AEROL,,AEROL 100µg Aérosol Fl 200 Doses,100µg
AEROL,,AEROL 100µg Aérosol Fl 200Doses,100µg
AERONIDE,,AERONIDE 200µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur,200µg
AERONIDE,,AERONIDE 400µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur,400µg
AFINITOR,,AFINITOR 10mg Comp. Bt 30,10mg
AFINITOR,,AFINITOR 5mg Comp. Bt 30,5mg
AFTAGEL,,AFTAGEL Gel Buccal Tb 15ml,15ml
AFUSIDIC,,AFUSIDIC 2% Crème Derm. Tb 15gr,15g
AFUSIDIC,,AFUSIDIC 2% Crème Derm.Tb 15gr,15g
AFUSIDIC,,AFUSIDIC 2% Pde.Derm. Tb 15gr,15g
AFUSIDIC,,AFUSIDIC 250mg Comp.Pell. Bt 10,250mg
AFUSIDIC,,AFUSIDIC 250mg Comp.Pell. Bt 20,250mg
AFUSIDIC,,AFUSIDIC PLUS 2% Crème Derm. Tb 15gr,15g
AGRIPPAL,F,AGRIPPAL S1 Susp.Inj. Bt 1Ser./0.5ml (F),5ml
AH-DEUX,,AH-DEUX 20mg Comp.Pell. Bt 30,20mg
AIMAFIX,F,AIMAFIX 500UI/10ml Pdre.P.Prép.Inj. 1Fl Pdre. +Solv./10ml +Kit (F),500UI
AKIRIDEN,,AKIRIDEN LP 4mg Comp. à Libération Prolongée Bt 30,4mg
AKLONIL,,AKLONIL 2mg Comp.Séc. Bt 40,2mg
AKTONATE,,AKTONATE 35mg Comp.Pell. Bt 12,35mg
AKTONATE,,AKTONATE 35mg Comp.Pell. Bt 4,35mg
ALBUMINE,,ALBUMINE HUMAINE BAXTER 200gr/l Sol. Inj. Fl 50ml,200g
ALBUTOL,,ALBUTOL 2mg Comp. Bt 120,2mg
ALBUTOL,,ALBUTOL 2mg Comp. Bt 30,2mg
ALDACTAZINE,,ALDACTAZINE 25mg Comp.Séc. Bt 30,25mg
ALDACTONE,,ALDACTONE 25mg Comp.Séc. Bt 30,25mg
ALDACTONE,,ALDACTONE 50mg Comp.Séc. Bt 30,50mg
ALDACTONE,,ALDACTONE 75mg Comp.Pell.Séc. Bt 30,75mg
ALDARA,,ALDARA 5% Crème Derm. Bt 12Sachets Unidoses /250mg,250mg
ALERGOSONE,,ALERGOSONE 0.5mg/ml Gttes.Buv. Fl 30ml,5mg
ALERGOSONE,,ALERGOSONE 2mg Comp.Disper.Séc. Bt 20,2mg
ALEXAN,,ALEXAN 100mg/5ml Sol.Inj. Bt 1Fl/5ml,100mg
ALEXAN,,ALEXAN 1gr/20ml Sol.Inj. Bt 1Fl/20ml,1g
ALEZINE,,ALEZINE 5mg Comp.Orodisp. Bt 18,5mg
ALEZINE,,ALEZINE 5mg Comp.Orodisp. Bt 30,5mg
ALEZINE,,ALEZINE 5mg Comp.Orodisp. Bt 6,5mg
ALGESAL,,ALGESAL SURACTIVE Baume Tb 60gr,60g
ALGESIC,,ALGESIC 1000mg Comp.Séc. Bt 8,1000mg
ALGESIC,,ALGESIC 500mg Comp.Séc. Bt 160,500mg
ALGESIC,,ALGESIC 500mg Comp.Séc. Bt 20,500mg
ALGESIC,,ALGESIC EXTRA 500mg/65mg Comp.Pell.Séc. Bt 16,500mg
ALGESIC,,ALGESIC PLUS 500mg/12.8mg Comp.Séc. Bt 16,500mg
ALGESIC,,ALGESIC RHUME 500mg/25mg/5mg Comp.Pell. Bt 16,500mg
ALGIBREX,,ALGIBREX 200mg Gél. Bt 10,200mg
ALGIBREX,,ALGIBREX 200mg Gél. Bt 20,200mg
ALGIBREX,,ALGIBREX 200mg Gél. Bt 30,200mg
ALGIDOL,,ALGIDOL 1000mg Comp.Séc. Bt 8,1000mg
ALGIDOL,,ALGIDOL 500mg Comp. Bt 16,500mg
ALGIDOL,,ALGIDOL EXTRA 500mg/65mg Comp.Pell. Bt 16,500mg
ALLERGAMINE,,ALLERGAMINE 0.5mg/5ml Sirop Fl 125ml,5mg
ALLERGICA,,ALLERGICA 0.1% Sirop Fl 150ml,150ml
ALLERGICA,,ALLERGICA 10mg Comp. Bt 10,10mg
ALLERGICA,,ALLERGICA 10mg Comp. Bt 20,10mg
ALLERGICA,,ALLERGICA 10mg Comp. Bt 30,10mg
ALLERGICA,,ALLERGICA 10mg Comp. Bt 600,10mg
ALLERGIFLASH,,ALLERGIFLASH 0.05% Collyre Bt 10Récipients Unidoses /0.3ml,3ml
ALLERGODIL,,ALLERGODIL 0.05% Collyre Fl 6ml,6ml
ALLERGODIL,,ALLERGODIL 127µG/Dose Spray Nasal Fl 17ml+Pompe Doseuse,127µG
ALLERGUS,,ALLERGUS 0.5mg/ml Sirop Fl 150ml,5mg
ALLERGUS,,ALLERGUS 5mg Comp.Pell. Bt 15,5mg
ALLERGUS,,ALLERGUS 5mg Comp.Pell. Bt 30,5mg
ALLERGUS,,ALLERGUS 5mg Comp.Pell. Bt 5,5mg
ALLERGY-STOP,,ALLERGY-STOP 5mg Comp.Pell. Bt 15,5mg
ALLERGY-STOP,,ALLERGY-STOP 5mg Comp.Pell. Bt 30,5mg
ALLERGYFAST,,ALLERGYFAST 120mg Comp.Pell. Bt 15,120mg
ALLERGYFAST,,ALLERGYFAST 180mg Comp.Pell. Bt 15,180mg
ALLERTEC,,ALLERTEC 10mg Comp.Séc. Bt 15,10mg
ALLERTEC,,ALLERTEC 10mg Comp.Séc. Bt 30,10mg
ALLERTEC,,ALLERTEC 10mg Comp.Séc. Bt 600,10mg
ALLERTEC,,ALLERTEC 10mg Comp.Séc. Bt 7,10mg
ALLORIC,,ALLORIC 100mg Comp. Bt 30,100mg
ALOPEXY,,ALOPEXY 2% Sol.Ext. Fl 120ml + Pipette + Pompe,120ml
ALOPEXY,,ALOPEXY 5% Sol.Ext. Fl 120ml + Pipette + Pompe,120ml
ALPHA-GLUCOFF,,ALPHA-GLUCOFF 100mg Comp. Bt 90,100mg
ALPHA-GLUCOFF,,ALPHA-GLUCOFF 50mg Comp. Bt 90,50mg
ALPHACOL,,ALPHACOL 0.2% Collyre Bt 30 Opht. /0.3ml,3ml
ALPHACOL,,ALPHACOL FREE 0.2% Collyre Fl 5ml,5ml
ALPHAGAN,,ALPHAGAN 0.2% Collyre Fl 5ml,5ml
ALPRESS,,ALPRESS LP 2.5mg Comp. LP Bt 30,5mg
ALPRESS,,ALPRESS LP 5mg Comp. LP Bt 30,5mg
ALZHECEPT,,ALZHECEPT 10 10mg Comp.Pell. Bt 30,10mg
ALZHECEPT,,ALZHECEPT 5 5mg Comp.Pell. Bt 30,5mg
ALZOR,,ALZOR 2% Collyre Fl 5ml,5ml
ALZOR,,ALZOR 3M 2% Collyre Fl 5ml,5ml
AMANTEX,,AMANTEX 100mg Gél. Bt 50,100mg
AMAREL,,AMAREL 1mg Comp. Bt 30,1mg
AMAREL,,AMAREL 2mg Comp. Bt 30,2mg
AMAREL,,AMAREL 3mg Comp. Bt 30,3mg
AMAREL,,AMAREL 4mg Comp. Bt 30,4mg
AMAREL,,AMAREL 6mg Comp. Bt 30,6mg
AMARYL,,AMARYL M 2mg/500mg Comp.Pell. Bt 30,2mg
AMBROGAM,,AMBROGAM 0.3%  0.3% Sol.Buv. Fl 150ml,150ml
AMBROGAM,,AMBROGAM 0.6% Sol.Buv. Fl 150ml,150ml
AMIOCARD,,AMIOCARD 200mg Comp.Séc. Bt 30,200mg
AMIPRIDE,,AMIPRIDE 200 200mg Comp.Séc. Bt 30,200mg
AMIPRIDE,,AMIPRIDE 400 400mg Comp.Pell.Séc. Bt 30,400mg
AMLODEP,,AMLODEP 5mg Comp. Bt 30,5mg
AMLODEP,,AMLODEP 5mg Comp. Bt 60,5mg
AMLODIPINE,,AMLODIPINE MEDIS 10mg Comp.Pell.Séc. Bt 30,10mg
AMLODIPINE,,AMLODIPINE MEDIS 10mg Comp.Pell.Séc. Bt 90,10mg
AMLODIPINE,,AMLODIPINE MEDIS 5mg Comp.Pell.Séc. Bt 30,5mg
AMLODIPINE,,AMLODIPINE MEDIS 5mg Comp.Pell.Séc. Bt 90,5mg
AMLODIPINE,,AMLODIPINE ZENTIVA 10mg Comp Séc. Bt 30,10mg
AMLODIPINE,,AMLODIPINE ZENTIVA 5mg Comp Séc. Bt 30,5mg
AMLODIS,,AMLODIS 10mg Comp. Bt 30,10mg
AMLODIS,,AMLODIS 10mg Comp. Bt 90,10mg
AMLODIS,,AMLODIS 5mg Comp. Bt 30,5mg
AMLODIS,,AMLODIS 5mg Comp. Bt 60,5mg
AMLODIS,,AMLODIS 5mg Comp. Bt 90,5mg
AMLOR,,AMLOR 10mg Gél. Bt 30,10mg
AMLOR,,AMLOR 5mg Comp. Bt 30,5mg
AMLOR,,AMLOR 5mg Comp. Bt 60,5mg
AMLOR,,AMLOR 5mg Comp. Bt 90,5mg
AMLOSARTAN,,AMLOSARTAN ZENTIVA 10mg/160mg Comp.Pell. Bt 30,10mg
AMLOSARTAN,,AMLOSARTAN ZENTIVA 5mg/160mg Comp.Pell. Bt 30,5mg
AMLOTENS,,AMLOTENS 10mg Gél. Bt 30,10mg
AMLOTENS,,AMLOTENS 10mg Gél. Bt 90,10mg
AMLOTENS,,AMLOTENS 5mg Gél. Bt 30,5mg
