brand_name,inn_raw,full_text,strength
CIPROFLEX,,CIPROFLEX 750 750mg Comp.Pell. Bt 15,750mg
CIPROFLO,,CIPROFLO INFO 2mg/ml Sol.Inj.P.Perf. Poche 200ml,2mg
CIPROJECT,,CIPROJECT 200mg/100ml Sol.Inj.P.Perf. Poche 100ml,200mg
CIPROLON,,CIPROLON 500 500mg Comp.Pell.Séc. Bt 14,500mg
CIPROLON,,CIPROLON 750 750mg Comp.Pell.Séc. Bt 14,750mg
CIPTADINE,,CIPTADINE 4mg Comp.Enr.Séc. Bt 30,4mg
CIRCULAID,,CIRCULAID LP 400 400mg Comp L.P Bt 30,400mg
CISATRACURIUM,F,CISATRACURIUM SAIPH 2mg/ml Sol.Inj. Bt 5Amp/5ml (F),2mg
CISATREX,F,CISATREX 2mg/ml Sol.Inj. Bt 5Amp./5ml (F),2mg
CISATREX,F,CISATREX FORT 5mg/ml Sol.Inj. Bt 1Fl/30ml (F),5mg
CISPLATIN-EBEWE,,CISPLATIN-EBEWE 25mg/50ml Sol.inj. Fl 50ml,25mg
CISPLATINE,,CISPLATINE MYLAN 25mg Sol.Inj. Bt 1Fl/25ml,25mg
CLAMOXYL,,CLAMOXYL 125mg Pdre.P.Susp.Or. Fl 60ml,125mg
CLAMOXYL,,CLAMOXYL 250mg Pdre.P.Susp.Or. Fl 60ml,250mg
CLAMOXYL,,CLAMOXYL 500mg Gél. Bt 12,500mg
CLAMOXYL,,CLAMOXYL 500mg/5ml Pdre.P.Susp.Or. Fl 60ml,500mg
CLAMOXYL,,CLAMOXYL DISPERSIBLE 1gr Comp.Sol. Bt 12,1g
CLAMOXYL,,CLAMOXYL DISPERSIBLE 500mg Comp.Sol. Bt 12,500mg
CLAMYCINE,,CLAMYCINE 250mg Comp.Pell.Séc. Bt 14,250mg
CLAMYCINE,,CLAMYCINE 500mg Comp.Pell.Séc. Bt 14,500mg
CLARID,,CLARID 250mg Comp.Pell. Bt 10,250mg
CLARID,,CLARID 250mg Comp.Pell. Bt 14,250mg
CLARID,,CLARID 25mg/ml Glés.P.Susp.Buv. Fl 60ml +Ser.Doseuse,25mg
CLARID,,CLARID 500mg Comp.Pell. Bt 14,500mg
CLARID,,CLARID 50mg/ml Glés.P.Susp.Buv. Fl 60ml +Ser.Doseuse,50mg
CLARIMAX,,CLARIMAX 250mg Comp.Pell. Bt 14,250mg
CLARIMAX,,CLARIMAX 500mg Comp.Pell. Bt 14,500mg
CLARITHRO,,CLARITHRO 250mg Comp Pell. Bt 10,250mg
CLARITHROMYCINE,,CLARITHROMYCINE ZENTIVA 500mg Comp.Pell. Bt 14,500mg
CLARIUS,,CLARIUS 0.5mg/ml Sol.Buv. Fl 150ml,5mg
CLARIUS,,CLARIUS 5mg Comp.Pell. Bt 15,5mg
CLARIUS,,CLARIUS 5mg Comp.Pell. Bt 30,5mg
CLAVOR,8/1,CLAVOR (8/1) 1gr/125mg Pdre.P.Susp.Or. Bt 24Sach.,1g
CLAVOR,,CLAVOR 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml+Pipette,100mg
CLAVOR,,CLAVOR 1gr/125mg Pdre.P.Susp.Or. Bt 12Sach.,1g
CLAVOR,1:8,CLAVOR 500 (1:8) 500mg/62.5mg Comp.Pell. Bt 16,500mg
CLAVOR,1:8,CLAVOR 500 (1:8) 500mg/62.5mg Comp.Pell. Bt 24,500mg
CLAVOR,,CLAVOR 500mg/62.5mg Pdre.P.Susp.Or. Bt 24Sach.,500mg
CLEDOS,,CLEDOS 400mg Gél. Bt 50,400mg
CLEDOS,,CLEDOS 800mg Comp.Pell. Fl 100,800mg
CLENIL,,CLENIL 250µg Aérosol Fl 200 Doses,250µg
CLIMASTON,,CLIMASTON 1mg/10mg Comp.Pell. Bt 14+14,1mg
CLIMASTON,,CLIMASTON 1mg/5mg Comp pell. Bt 28,1mg
CLIMASTON,,CLIMASTON 2mg/10mg Comp.Pell. Bt 14+14,2mg
CLINDAMYCINE,,CLINDAMYCINE KABI 600mg/4ml Sol.Inj. Bt 5Amp./4ml,600mg
CLIPTOL,,CLIPTOL 5% GEL derm. Tb 50 grs,50 g
CLOBEX,,CLOBEX 500µg/gr Shampooing Bt 1Fl/125ml,500µg
CLOMIPRAMINE,CHLORHYDRATE,CLOMIPRAMINE (CHLORHYDRATE) MYLAN 10mg Comp.Pell. Bt 60,10mg
CLOMIPRAMINE,CHLORHYDRATE,CLOMIPRAMINE (CHLORHYDRATE) MYLAN 25mg Comp.Pell. Bt 50,25mg
CLOPIDOGREL,,CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 30,75mg
CLOPIDOGREL,,CLOPIDOGREL PFIZER 75mg Comp.Pell. Bt 90,75mg
CLOPIX,,CLOPIX 75mg Comp.Pell. Bt 30,75mg
CLOPIX,,CLOPIX 75mg Comp.Pell. Bt 60,75mg
CLOPIX,,CLOPIX 75mg Comp.Pell. Bt 90,75mg
CLOVEN,,CLOVEN 75mg Comp.Pell. Bt 30,75mg
CLOVEN,,CLOVEN 75mg Comp.Pell. Bt 90,75mg
CO-ALGESIC,,CO-ALGESIC 500mg/30mg Comp.Séc. Bt 16,500mg
CO-ALGIDOL,,CO-ALGIDOL 500mg/30mg Comp. Bt 16,500mg
CO-ARADEUX,,CO-ARADEUX 150mg/12.5mg Comp.Pell. Bt 30,150mg
CO-ARADEUX,,CO-ARADEUX 150mg/12.5mg Comp.Pell. Bt 90,150mg
CO-ARADEUX,,CO-ARADEUX 300mg/12.5mg Comp.Pell. Bt 30,300mg
CO-ARADEUX,,CO-ARADEUX 300mg/12.5mg Comp.Pell. Bt 90,300mg
CO-ARADEUX,,CO-ARADEUX 300mg/25mg Comp.Pell. Bt 30,300mg
CO-ARADEUX,,CO-ARADEUX 300mg/25mg Comp.Pell. Bt 90,300mg
CO-IRBESAR,,CO-IRBESAR 150mg/12.5mg Comp. Bt 30,150mg
CO-IRBESAR,,CO-IRBESAR 150mg/12.5mg Comp. Bt 90,150mg
CO-IRBESAR,,CO-IRBESAR 300mg/12.5mg Comp. Bt 30,300mg
CO-IRBESAR,,CO-IRBESAR 300mg/12.5mg Comp. Bt 90,300mg
CO-IRBESAR,,CO-IRBESAR 300mg/25mg Comp. Bt 30,300mg
CO-IRBESAR,,CO-IRBESAR 300mg/25mg Comp.Séc. Bt 90,300mg
CO-IRBESARTAN,,CO-IRBESARTAN PFIZER 300mg/25mg Comp.Pell. Bt 30,300mg
CO-IRBY,,CO-IRBY 150mg/12.5mg  Comp.Pell. Bt 30,150mg
CO-IRBY,,CO-IRBY 300mg/12.5mg  Comp.Pell. Bt 30,300mg
CO-IRBY,,CO-IRBY 300mg/25mg  Comp.Pell. Bt 30,300mg
CO-IRIVEL,,CO-IRIVEL 150mg/12.5mg Comp.Pell. Bt 30,150mg
CO-IRIVEL,,CO-IRIVEL 150mg/12.5mg Comp.Pell. Bt 90,150mg
CO-IRIVEL,,CO-IRIVEL 300mg/12.5mg Comp.Pell. Bt 30,300mg
CO-IRIVEL,,CO-IRIVEL 300mg/12.5mg Comp.Pell. Bt 90,300mg
CO-IRIVEL,,CO-IRIVEL 300mg/25mg Comp.Pell. Bt 30,300mg
CO-IRIVEL,,CO-IRIVEL 300mg/25mg Comp.Pell. Bt 90,300mg
CO-LOSAR,,CO-LOSAR 50mg/12.5mg Comp.Pell. Bt 30,50mg
CO-LOSAR,,CO-LOSAR 50mg/12.5mg Comp.Pell. Bt 60,50mg
CO-LOSAR,,CO-LOSAR 50mg/12.5mg Comp.Pell. Bt 90,50mg
CO-LOSAR,,CO-LOSAR FORT 100mg/25mg Comp.Pell.Séc. Bt 30,100mg
CO-LOSAR,,CO-LOSAR FORT 100mg/25mg Comp.Pell.Séc. Bt 90,100mg
CO-LOSAR,,CO-LOSAR PLUS 100mg/12.5mg Comp.Pell.Séc. Bt 30,100mg
CO-LOSAR,,CO-LOSAR PLUS 100mg/12.5mg Comp.Pell.Séc. Bt 90,100mg
CO-MEDZAR,,CO-MEDZAR 50mg/12.5mg Comp.Pell.Séc. Bt 28,50mg
CO-MEDZAR,,CO-MEDZAR 50mg/12.5mg Comp.Pell.Séc. Bt 90,50mg
CO-MEDZAR,,CO-MEDZAR FORT 100mg/25mg Comp.Pell.Séc. Bt 28,100mg
CO-MEDZAR,,CO-MEDZAR FORT 100mg/25mg Comp.Pell.Séc. Bt 90,100mg
CO-OLMETEC,,CO-OLMETEC 40mg/12.5mg Comp.Pell. Bt 30,40mg
CO-OLMETEC,,CO-OLMETEC 40mg/25mg Comp.Pell. Bt 30,40mg
CO-TAZAR,,CO-TAZAR 160mg/25mg Comp.Pell. Bt 30,160mg
CO-TAZAR,,CO-TAZAR 80mg/12.5mg Comp.Pell. Bt 30,80mg
CO-TENSOPRIL,,CO-TENSOPRIL 50mg/25mg Comp. Bt 30,50mg
CO-THERAPRIL,,CO-THERAPRIL 10mg/10mg Comp. Bt 30,10mg
CO-THERAPRIL,,CO-THERAPRIL 10mg/5mg Comp. Bt 30,10mg
CO-THERAPRIL,,CO-THERAPRIL 5mg/5mg Comp. Bt 30,5mg
CO-VALSARTAN,,CO-VALSARTAN ZENTIVA 160mg/25mg Comp.Pell. Bt 30,160mg
CO-VALSARTAN,,CO-VALSARTAN ZENTIVA 80mg/12.5mg Comp.Pell. Bt 30,80mg
CO-ZARTAN,,CO-ZARTAN 50mg/12.5mg Comp.Pell.Séc. Bt 30,50mg
CO-ZARTAN,,CO-ZARTAN 50mg/12.5mg Comp.Pell.Séc. Bt 90,50mg
CO-ZARTAN,,CO-ZARTAN FORT 100mg/25mg Comp.Pell. Bt 30,100mg
CO-ZARTAN,,CO-ZARTAN FORT 100mg/25mg Comp.Pell. Bt 90,100mg
COAPROVEL,,COAPROVEL 150mg/12.5mg Comp.Pell. Bt 30,150mg
COAPROVEL,,COAPROVEL 150mg/12.5mg Comp.Pell. Bt 90,150mg
COAPROVEL,,COAPROVEL 300mg/12.5mg Comp.Pell. Bt 30,300mg
COAPROVEL,,COAPROVEL 300mg/12.5mg Comp.Pell. Bt 90,300mg
COAPROVEL,,COAPROVEL 300mg/25mg Comp.Pell. Bt 30,300mg
COAPROVEL,,COAPROVEL 300mg/25mg Comp.Pell. Bt 90,300mg
COAPROZAR,,COAPROZAR 150mg/12.5mg Comp.Pell. Bt 28,150mg
COAPROZAR,,COAPROZAR 150mg/12.5mg Comp.Pell. Bt 30,150mg
COAPROZAR,,COAPROZAR 150mg/12.5mg Comp.Pell. Bt 90,150mg
COAPROZAR,,COAPROZAR 300mg/12.5mg Comp.Pell. Bt 28,300mg
COAPROZAR,,COAPROZAR 300mg/12.5mg Comp.Pell. Bt 30,300mg
COAPROZAR,,COAPROZAR 300mg/12.5mg Comp.Pell. Bt 90,300mg
COAPROZAR,,COAPROZAR 300mg/25mg Comp.Pell. Bt 30,300mg
COAPROZAR,,COAPROZAR 300mg/25mg Comp.Pell. Bt 90,300mg
COARAVEN,,COARAVEN 150mg/12.5mg Comp.Pell. Bt 30,150mg
COARAVEN,,COARAVEN 150mg/12.5mg Comp.Pell. Bt 90,150mg
COARAVEN,,COARAVEN 300mg/12.5mg Comp.Pell. Bt 30,300mg
COARAVEN,,COARAVEN 300mg/12.5mg Comp.Pell. Bt 90,300mg
COARAVEN,,COARAVEN 300mg/25mg Comp.Pell. Bt 30,300mg
COARAVEN,,COARAVEN 300mg/25mg Comp.Pell. Bt 90,300mg
COCCULINE,,COCCULINE Comp.Orodisp. Bt 40,N/A
COLCHICINE,,COLCHICINE Comp 1mg Bt 20,1mg
COLCHICINE,,COLCHICINE OPOCALCIUM 1mg Comp. Bt 20,1mg
COLIMYCINE,,COLIMYCINE 1MUI Pdre.P.Prép.Inj. Bt 50 Fl SS,N/A
COLLARGOL,,COLLARGOL 5% Pde.Derm.Tb 10gr,10g
COLLUXID,,COLLUXID 0.1% Soluté Buccal Fl 120ml,120ml
COLLYRE,,COLLYRE BLEU LAITER Collyre Fl 10ml,10ml
COLOCALM,,COLOCALM 160mg Comp.Orodisp. Bt 15,160mg
COLOCALM,,COLOCALM 80mg Comp.Orodisp. Bt 20,80mg
COLOSPASMYL,,COLOSPASMYL 0.787g% Glés.P.Susp.Buv. Fl 250ml,787g
COLOSPASMYL,,COLOSPASMYL 100mg Comp.Pell. Bt 30,100mg
COLOSPASMYL,,COLOSPASMYL 200mg Comp.Séc. Bt 15,200mg
COLOSPASMYL,,COLOSPASMYL 74.4mg Granulés P.Susp.Buv. Bt 30Sachets,4mg
COLPRONE,,COLPRONE 5 5mg Comp. Bt 20,5mg
COLTRAMYL,,COLTRAMYL 4mg Comp.Séc. Bt 12,4mg
COMBIFOR,60Gél Aeronide+60Gél Aerofor,COMBIFOR 200mcg/12mcg Pdre.P.Inhal.Bucc. Bt 120 Gél (60Gél Aeronide+60Gél Aerofor),200mcg
COMBIFOR,60Gél Aeronide+60Gél Aerofor,COMBIFOR 400mcg/12mcg Pdre.P.Inh.Bucc. Bt 120Gél (60Gél Aeronide+60Gél Aerofor),400mcg
COMBIGAN,,COMBIGAN Collyre Fl 5ml,5ml
COMTAN,,COMTAN 200mg Comp.Pell. Fl 30,200mg
CONCOR,,CONCOR AMLO 10mg/10mg Comp. Bt 30,10mg
CONCOR,,CONCOR AMLO 10mg/5mg Comp. Bt 30,10mg
CONCOR,,CONCOR AMLO 5mg/10mg Comp. Bt 30,5mg
CONCOR,,CONCOR AMLO 5mg/5mg Comp. Bt 30,5mg
CONNETTIVINA,,CONNETTIVINA 0.2% Crème Derm. Tb 15gr,15g
CONNETTIVINA,,CONNETTIVINA 2mg Compresse Imprégnée Stérile Bt 10/10x10cm,2mg
CONNETTIVINA,,CONNETTIVINA PLUS Compresse Imprégnée Stérile Bt 10/10x10cm,N/A
CONNETTIVINA,,CONNETTIVINA PLUS Crème Derm. Tb 25gr,25g
CONTRATHION,,CONTRATHION 2% Pdre.P.Prép.Inj. Bt 10 +Solv./10ml,10ml
CONVERTAL,,CONVERTAL 25mg Comp.Séc.Bt 30,25mg
CONVERTAL,,CONVERTAL 50mg Comp.Séc.Bt 30,50mg
COOLMETEC,,COOLMETEC 20mg/12.5mg Comp.Pell. Bt 30,20mg
COOLMETEC,,COOLMETEC 20mg/25mg Comp.Pell. Bt 30,20mg
COPIGREL,,COPIGREL 75mg Comp.Pell. Bt 30,75mg
COPIGREL,,COPIGREL 75mg Comp.Pell. Bt 60,75mg
COPIGREL,,COPIGREL 75mg Comp.Pell. Bt 90,75mg
COPRED,,COPRED EFF 20mg Comp.Effervesc. Fl 10,20mg
COPRED,,COPRED ODT 20mg Comp.Orodisp. Bt 10,20mg
COPRED,,COPRED ODT 20mg Comp.Orodisp. Bt 20,20mg
COPRED,,COPRED ODT 20mg Comp.Orodisp. Bt 30,20mg
COPRED,,COPRED ODT 5mg Comp.Orodisp. Bt 30,5mg
CORAPRIL,,CORAPRIL 10mg/12.5mg Comp.Séc. Bt 30,10mg
CORAPRIL,,CORAPRIL 10mg/25mg Comp.Séc. Bt 30,10mg
CORAPRIL,,CORAPRIL 5mg/25mg Comp.Séc. Bt 30,5mg
CORAPRIL,,CORAPRIL 5mg/25mg Comp.Séc. Bt 90,5mg
CORDARONE,,CORDARONE 150mg Sol.Inj. Bt 6/3ml,150mg
CORDARONE,,CORDARONE 200mg Comp.Séc. Bt 20,200mg
CORICIDE,,CORICIDE VERRUCIDE LIQUIDE Sol.Ext. Fl 5ml,5ml
CORNEREGEL,,CORNEREGEL 5% Gel Ophtal. Tb 10gr,10g
COROTROPE,,COROTROPE 10mg/10ml Sol. Inj  Bt 10x10ml,10mg
CORRECTOL,,CORRECTOL Collyre Fl 10ml,10ml
CORTEF,,CORTEF 10mg Comp.Séc. Fl 100,10mg
CORTEMA,,"CORTEMA 0,01% Lotion Fl 30ml",30ml
CORTEMA,,"CORTEMA 0.01 0,01% Pde. Derm. Tb 50gr",50g
CORTEMA,,CORTEMA 0.01 0.01% Pde.Derm. Tb 20gr,20g
CORTEMA,,"CORTEMA APG 0,05% Crème Derm. Tb 15gr",15g
CORTEMA,,"CORTEMA GEL 0,025% Gel Derm. Tb 30gr",30g
CORTEMA,,CORTEMA GRAS 0.05% Pde.Derm. Tb 15gr,15g
CORTEMA,,CORTEMA NEOMYCINE Pde.Derm. Tb 15gr,15g
CORTINASE,,CORTINASE 64mcg/Dose Susp.Nas. Fl 120 doses,64mcg
CORTIS,,CORTIS 100µg Sol.P.Inhal. Fl 100Doses,100µg
CORTIS,,CORTIS 250µg 250µg Susp.P.Inhal. Fl 200 Doses,250µg
CORTIS,,CORTIS 250µg Susp.P.Inhal. Fl 200 Doses,250µg
CORTIS,,CORTIS 50µg Susp.P.Inhal. Fl 200 Doses,50µg
CORVASAL,,CORVASAL 2mg Comp.Séc. Bt 30,2mg
CORVASAL,,CORVASAL 4mg Comp.Séc. Bt 30,4mg
CORYZALIA,,CORYZALIA Comp.Orodisp. Bt 40,N/A
COSENTYX,F,COSENTYX 150mg/ml Sol.Inj. Bt 2Stylos pré-remplis (F),150mg
COSIMPREL,,COSIMPREL 10mg/10mg Comp.Pell. Bt 30,10mg
COSIMPREL,,COSIMPREL 10mg/5mg Comp.Pell.Séc. Bt 30,10mg
COSIMPREL,,COSIMPREL 5mg/10mg Comp.Pell.Séc. Bt 30,5mg
COSIMPREL,,COSIMPREL 5mg/5mg Comp.Pell.Séc. Bt 30,5mg
COSOPT,,COSOPT Collyre Fl 5ml,5ml
COTAREG,,COTAREG 160mg/12.5mg Comp.Pell. Bt 28,160mg
COTAREG,,COTAREG 160mg/25mg Comp.Pell. Bt 30,160mg
COTAREG,,COTAREG 160mg/25mg Comp.Pell. Bt 90,160mg
COTAREG,,COTAREG 80mg/12.5mg Comp.Pell. Bt 30,80mg
COTAREG,,COTAREG 80mg/12.5mg Comp.Pell. Bt 90,80mg
COTRIMOX,,COTRIMOX 480mg Comp. Bt 150,480mg
COTRIMOX,,COTRIMOX 480mg Comp. Bt 20,480mg
COVERAM,,COVERAM 10mg/10mg Comp. Fl 30,10mg
COVERAM,,COVERAM 10mg/5mg Comp. Fl 30,10mg
COVERAM,,COVERAM 5mg/10mg Comp. Fl 30,5mg
COVERAM,,COVERAM 5mg/5mg Comp. Fl 30,5mg
COVERSYL,,COVERSYL 10mg Comp.Pell. Fl 30,10mg
COVERSYL,,COVERSYL 5mg Comp.Pell. Fl 30,5mg
COXIBREX,,COXIBREX 200mg Gél. Bt 10,200mg
COXIBREX,,COXIBREX 200mg Gél. Bt 20,200mg
COXIBREX,,COXIBREX 200mg Gél. Bt 30,200mg
CREON,,CREON 12000U 150mg Gél. Fl 60,150mg
CREON,,CREON 25000UI 300mg Gél.Gastro-résist. Fl 60,25000UI
CRESTOR,,CRESTOR 10mg Comp.Pell. Bt 30,10mg
CRESTOR,,CRESTOR 20mg Comp.Pell. Bt 30,20mg
CRESTOR,,CRESTOR 5mg Comp.Pell. Bt 30,5mg
CURACNE,,CURACNE 40mg Caps.Molle Bt 30,40mg
CURACNE,,CURACNE Gé 10mg Caps.Molle Bt 30,10mg
CURACNE,,CURACNE Gé 20mg Caps.Molle Bt 30,20mg
CURACNE,,CURACNE Gé 5mg Caps.Molle Bt 30,5mg
CUREAML,,CUREAML 500mg Gél. Bt 30,500mg
CUROSURF,F,CUROSURF 120mg/1.5ml Susp.P.Instill. Endotrachéobronchique Bt 1Fl/1.5ml (F),120mg
CYCLADOL,,CYCLADOL 20mg Comp.Efferv. Bt 14,20mg
CYCLADOL,,CYCLADOL 20mg Comp.Séc. Bt 14,20mg
CYCLADOL,,CYCLADOL 20mg Suppo. Bt 10,20mg
CYCLO,,CYCLO 3 Crème Derm. Tb 100gr,100g
CYCLO,,CYCLO 3 Crème Derm. Tb 40gr,40g
CYCLO,,CYCLO 3 FORT Gél. Bt 30,N/A
CYCLOCOL,,CYCLOCOL 0.5% Collyre Fl/0.5ml,5ml
CYCLODEX,,CYCLODEX 20mg Comp.Séc. Bt 14,20mg
CYCLODEX,,CYCLODEX 20mg Comp.Séc. Bt 7,20mg
CYCLOFF,,CYCLOFF 100mg/5ml Susp.Buv. Fl 125ml,100mg
CYCLOFF,,CYCLOFF 400mg Comp. Bt 20,400mg
CYMEVENE,,CYMEVENE 500mg Pdre.Prép.Inj. Bt 1Fl,500mg
CYSTINA,,CYSTINA 500mg Gél. Bt 20,500mg
CYSTODOSE,,CYSTODOSE 3g Glés.P.Sol.Buv. Bt 1Sach.,3g
CYTEAL,,CYTEAL 0.1% Sol.Ext. Fl 250ml,250ml
CYTEAL,,CYTEAL 0.1% Sol.Ext. Fl 500ml,500ml
CYTOBICINE,F,CYTOBICINE 10mg/5ml Sol.Inj.P.Perf. Bt 1Fl/5ml (F),10mg
CYTOBICINE,F,CYTOBICINE 50mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml (F),50mg
CYTOCIS,,CYTOCIS 25mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml,25mg
CYTODOX,F,CYTODOX 10mg/5ml Sol.Inj.P.Perf. Bt 1Fl/5ml (F),10mg
CYTODOX,F,CYTODOX 50mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml (F),50mg
CYTOFLU,50mg/ml,CYTOFLU 1gr/20ml (50mg/ml) Sol.Inj.P.Perf. Bt 1Fl/20ml,1g
CYTOFLU,50mg/ml,CYTOFLU 250mg/5ml (50mg/ml) Sol.Inj.P.Perf. Bt 1Fl/5ml,250mg
CYTOFLU,50mg/ml,CYTOFLU 500mg/10ml (50mg/ml) Sol.Inj.P.Perf. Bt 1Fl/10ml,500mg
CYTOGEM,1gr,CYTOGEM 40mg/ml (1gr) Sol.Inj.P.Perf. Bt 1Fl/25ml (F),40mg
CYTOGEM,200mg,CYTOGEM 40mg/ml (200mg) Sol.Inj.P.Perf. Fl 5ml (F),40mg
CYTOKAR,,CYTOKAR 150mg/15ml Sol.Inj.P.Perf. Bt 1Fl/15ml,150mg
CYTOPAXEL,,CYTOPAXEL 100mg/16.7ml Sol.Inj.P.Perf. Bt 1Fl/16.7ml,100mg
CYTOPAXEL,,CYTOPAXEL 30mg/5ml Sol.Inj.P.Perf. Bt 1Fl/5ml,30mg
CYTOTECAN,,CYTOTECAN 100mg/5ml Sol.Inj.P.Perf. Bt 1Fl/5ml,100mg
CYTOTECAN,,CYTOTECAN 40mg/2ml Sol.Inj.P.Perf. Bt 1Fl/2ml,40mg
CYTOTERE,,CYTOTERE 20mg/ml Sol.Inj.P.Perf. Bt 1Fl/1ml,20mg
CYTOTERE,,CYTOTERE 80mg/4ml Sol.Inj.P.Perf. Bt 1Fl/4ml,80mg
CYTOXALINE,,CYTOXALINE 100mg/20ml Sol.Inj.P.Perf. Bt 1Fl/20ml,100mg
CYTOXALINE,,CYTOXALINE 50mg/10ml Sol.Inj.P.Perf. Bt 1Fl/10ml,50mg
CYVALTEX,,CYVALTEX 500 500mg Comp.Pell. Fl 10,500mg
CYVALTEX,,CYVALTEX 500 500mg Comp.Pell. Fl 42,500mg
CYVALTEX,,CYVALTEX 500 500mg Comp.Pell. Fl 90,500mg
CYVAX,,CYVAX 125mcg/25mcg Aérosol Fl 120Doses,125mcg
CYVAX,,CYVAX 250µg/25µg Susp.P.Inhal. Fl 120Doses,250µg
CYVAX,,CYVAX 50µg/25µg/Dose Susp.P.Inhalat. Fl 120 Doses,50µg
DACUROSE,,DACUROSE Collyre Bt 10/10ml,10ml
DACUROSE,,DACUROSE Collyre Bt 20/10 ml,10 ml
DAFALGAN,,DAFALGAN 1gr Comp.Pell. Bt 8,1g
DAFLON,,DAFLON 500mg Comp.Pell. Bt 30,500mg
DAIVOBET,,DAIVOBET 50mcg/0.5mg/gr Gel Derm. Fl 30gr,50mcg
DAIVOBET,,DAIVOBET 50mcg/0.5mg/gr Gel Derm. Fl 60gr,50mcg
DAIVOBET,,DAIVOBET 50mcg/0.5mg/gr Pde.Derm. Tb 60gr,50mcg
DAIVODERM,,DAIVODERM 50mcg/0.5mg/g Gel Derm. Fl 100gr,50mcg
DAIVODERM,,DAIVODERM 50mcg/0.5mg/g Pde.Derm. Tb 100gr,50mcg
DAIVONEX,,DAIVONEX 50mcg/gr Pde.derm.Tb 30gr,50mcg
DAKIN,,DAKIN COOPER STABILISEE Sol.Ext. Fl 250ml,250ml
DAKIN,,DAKIN COOPER STABILISEE Sol.Ext. Fl 500ml,500ml
DAKTARIN,,DAKTARIN 2% Gel Buccal Tb 40gr,40g
DALACINE,,DALACINE 600mg Sol.Inj. Bt 1/4ml,600mg
DALACINE,,DALACINE T TOPIC 1% Sol.Ext. Fl 30ml,30ml
DANATROL,,DANATROL 200mg Gél. Bt 100,200mg
DANATROL,,DANATROL 200mg Gél. Bt 40,200mg
DAONIL,,DAONIL 5mg Comp.Séc. Bt 100,5mg
DAONIL,,DAONIL 5mg Comp.Séc. Bt 20,5mg
DAPOX,,DAPOX 30mg Comp.Pell. Bt 3,30mg
DAPOX,,DAPOX 30mg Comp.Pell. Bt 6,30mg
DAPOX,,DAPOX 60mg Comp.Pell. Bt 3,60mg
DAPOX,,DAPOX 60mg Comp.Pell. Bt 6,60mg
DASATINIB,,DASATINIB NEAPOLIS 50mg Comp.Pell. Bt 60,50mg
DASATINIB,,DASATINIB NEAPOLIS 70mg Comp.Pell. Bt 60,70mg
DEBRICOL,,DEBRICOL 100mg Comp. Bt 30,100mg
DEBRICOL,,DEBRICOL 200mg Comp.Séc. Bt 20,200mg
DEBRICOL,,"DEBRICOL 4,8mg/ml Granules/susp Fl 100ML",8mg
DEBRICOL,,DEBRICOL 4.8mg/ml Glés.P.Susp.Buv. Fl 250ml,8mg
DEBRICOL,,DEBRICOL 74.4mg Glé.Susp.Buv. Bt 30 Sachets,4mg
DEBRIDAT,,DEBRIDAT 100mg Comp.Pell. Bt 30,100mg
DEBRIDAT,,DEBRIDAT 200mg Comp.Pell. Bt 15,200mg
DEBRIDAT,,"DEBRIDAT 4,8mg/ml Granulé susp.buv. Fl 125ml + pipette doseuse",8mg
DEBRIDAT,,"DEBRIDAT 4,8mg/ml Granules/Susp Fl 250ml + pipette doseuse",8mg
DECAPEPTYL,,DECAPEPTYL LP 11.25mg Pdre.P.Prép.Inj. Bt 1Fl +S/2ml +Seringue +2aig.,25mg
DECAPEPTYL,,DECAPEPTYL LP 11.25mg Pdre.P.Prép.Inj. Bt 1Fl +S/2ml +Seringue +3Aig.,25mg
DECAPEPTYL,,DECAPEPTYL SC 0.1mg Sol.Inj. Bt 7+S/1ml,1mg
DECONTRACTYL,,DECONTRACTYL 500mg Comp.Pell. Bt 24,500mg
DECONTRACTYL,,DECONTRACTYL Baume Derm. Tb 80gr,80g
DECOZAL,,DECOZAL 0.1% Sol.P.Pulv.Nas. Fl 10ml,10ml
DEDROGYL,,DEDROGYL 15mg/100ml Gttes.Buv. Fl 10ml,15mg
DEFEROX,,DEFEROX 125mg Comp.Disper. Bt 30,125mg
DEFEROX,,DEFEROX 250mg Comp.Disper. Bt 30,250mg
DEFEROX,,DEFEROX 500mg Comp.Disper. Bt 30,500mg
DEFLATINE,,DEFLATINE Comp. à Sucer Bt 16,N/A
DELAPRIDE,,DELAPRIDE 30mg/2.5mg Comp.Séc. Fl 28,30mg
DENIR,,"DENIR Sirop 0,500mg/5ml Fl 125ml",500mg
DEPAKINE,,DEPAKINE 200mg Comp Gastrorésis. Fl 20,200mg
DEPAKINE,,DEPAKINE 200mg/ml Sol.Buv. Fl 40ml,200mg
DEPAKINE,,DEPAKINE 500mg Comp.Gastro-résist. Fl 20,500mg
DEPAKINE,,DEPAKINE 57.64mg/ml Sirop Fl 150ml,64mg
DEPAKINE,,DEPAKINE CHRONO 500mg Comp.Pell.Séc. LP Fl 30,500mg
