source,target,weight,severity,shared_drugs
Central Nervous System Stimulant,Radioactive Diagnostic Agent,2,MODERATE,"amphetamine, methylphenidate"
Aluminum Complex,Histamine-2 Receptor Antagonist,2,UNKNOWN,"cimetidine, ranitidine"
Aluminum Complex,Cardiac Glycoside,2,MAJOR,"digoxin, sucralfate"
Aluminum Complex,Methylxanthine,2,MODERATE,"sucralfate, theophylline"
Sulfonamide Antimicrobial,Sulfonylurea,2,CONTRAINDICATED,"glipizide, glyburide"
Dihydrofolate Reductase Inhibitor Antibacterial,Sulfonamide Antimicrobial,2,CONTRAINDICATED,"sulfamethoxazole and trimethoprim, trimethoprim"
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Macrolide Antimicrobial,2,CONTRAINDICATED,"clarithromycin, zidovudine"
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Progestin,2,CONTRAINDICATED,"norethindrone, retrovir"
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Partial Opioid Agonist,2,CONTRAINDICATED,"buprenorphine, retrovir"
Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"valganciclovir, zidovudine"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Muscle Relaxant,2,CONTRAINDICATED,"500 mg, 750 mg"
Histamine-2 Receptor Antagonist,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"famotidine, ranitidine"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Phosphodiesterase 5 Inhibitor,2,CONTRAINDICATED,"sildenafil, tadalafil"
Calcineurin Inhibitor Immunosuppressant,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Anthelmintic,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"efavirenz, praziquantel"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Rifamycin Antibacterial,2,CONTRAINDICATED,"efavirenz, rifampin"
Ccr5 Co-Receptor Antagonist,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"efavirenz, maraviroc"
Hepatitis C Virus Nucleotide Analog Ns5B Polymerase Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"efavirenz, vosevi"
Anti-Epileptic Agent,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"oxcarbazepine, phenytoin"
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Nucleoside Analog Antiviral,2,CONTRAINDICATED,"lamivudine, ribavirin"
Cardiac Glycoside,Macrolide Antimicrobial,2,CONTRAINDICATED,"clarithromycin, digoxin"
Anti-Anginal,Cardiac Glycoside,2,CONTRAINDICATED,"digoxin, ranolazine"
Cardiac Glycoside,P2Y12 Platelet Inhibitor,2,MAJOR,"digoxin, ticagrelor"
Cardiac Glycoside,Macrolide,2,CONTRAINDICATED,"digoxin, erythromycin"
Cardiac Glycoside,Cytochrome P450 3A Inhibitor,2,CONTRAINDICATED,"digoxin, ritonavir"
Calcineurin Inhibitor Immunosuppressant,Cardiac Glycoside,2,CONTRAINDICATED,"cyclosporine, digoxin"
Beta3-Adrenergic Agonist,Cardiac Glycoside,2,MAJOR,"digoxin, mirabegron"
Cardiac Glycoside,Dihydrofolate Reductase Inhibitor Antibacterial,2,CONTRAINDICATED,"digoxin, trimethoprim"
Cardiac Glycoside,Prostacycline Vasodilator,2,MAJOR,"digoxin, epoprostenol"
Antiarrhythmic,Cardiac Glycoside,2,CONTRAINDICATED,"digoxin, dofetilide"
Cardiac Glycoside,Rifamycin Antibacterial,2,CONTRAINDICATED,"digoxin, rifampin"
Cardiac Glycoside,Parathyroid Hormone Analog,2,MAJOR,"digoxin, teriparatide"
Bile Acid Sequestrant,Dietary Cholesterol Absorption Inhibitor,2,CONTRAINDICATED,"cholestyramine, questran"
Cytochrome P450 3A Inhibitor,Macrolide Antimicrobial,2,CONTRAINDICATED,"clarithromycin, ritonavir"
Macrolide Antimicrobial,Methylxanthine,2,CONTRAINDICATED,"clarithromycin, theophylline"
Antiarrhythmic,Macrolide Antimicrobial,2,CONTRAINDICATED,"clarithromycin, dofetilide"
Ccr5 Co-Receptor Antagonist,Macrolide Antimicrobial,2,CONTRAINDICATED,"maraviroc, selzentry"
Macrolide Antimicrobial,Rifamycin Antimycobacterial,2,CONTRAINDICATED,"clarithromycin, rifabutin"
Alkylating Drug,Iron Chelator,2,MAJOR,"busulfan, deferasirox"
Alpha-Adrenergic Agonist,General Anesthetic,2,MAJOR,"adrenalin, epinephrine"
Hmg-Coa Reductase Inhibitor,Microtubule Inhibitor,2,MAJOR,"lovastatin, simvastatin"
Histamine-2 Receptor Antagonist,Microtubule Inhibitor,2,MAJOR,"cimetidine, ranitidine"
Cytochrome P450 3A Inhibitor,Microtubule Inhibitor,2,CONTRAINDICATED,"paclitaxel, ritonavir"
Angiotensin 2 Receptor Blocker,Sodium-Glucose Cotransporter 2 Inhibitor,2,MAJOR,"hydrochlorothiazide, valsartan"
Azole Antifungal,Sodium-Glucose Cotransporter 2 Inhibitor,2,MAJOR,"itraconazole, ketoconazole"
Anti-Epileptic Agent,Sodium-Glucose Cotransporter 2 Inhibitor,2,MAJOR,"phenytoin, zonisamide"
Carbonic Anhydrase Inhibitor,Sodium-Glucose Cotransporter 2 Inhibitor,2,MAJOR,"acetazolamide, dichlorphenamide"
Anti-Anginal,Cytochrome P450 3A Inhibitor,2,CONTRAINDICATED,"ranolazine, ritonavir"
Anti-Anginal,Calcineurin Inhibitor Immunosuppressant,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Bile Acid,Estrogen,2,UNKNOWN,"conjugated, estrogens"
Hmg-Coa Reductase Inhibitor,Iron Chelator,2,MODERATE,"lovastatin, simvastatin"
Dihydropyridine Calcium Channel Blocker,Iron Chelator,2,MODERATE,"felodipine, nisoldipine"
Bile Acid Sequestrant,Iron Chelator,2,MODERATE,"cholestyramine, questran"
Glinide,Iron Chelator,2,MODERATE,"deferasirox, repaglinide"
Calcineurin Inhibitor Immunosuppressant,Iron Chelator,2,MODERATE,"cyclosporine, tacrolimus"
Muscle Relaxant,Pyridone,2,MODERATE,"500 mg, 750 mg"
Glinide,P2Y12 Platelet Inhibitor,2,MODERATE,"clopidogrel, repaglinide"
Rifamycin Antibacterial,Tetracycline-Class Drug,2,CONTRAINDICATED,"doxycycline, rifampin"
Benzodiazepine,Sympathomimetic-Like Agent,2,MODERATE,"diazepam, triazolam"
Rifamycin Antibacterial,Sulfone,2,CONTRAINDICATED,"dapsone, rifampin"
Antimalarial,Rifamycin Antibacterial,2,CONTRAINDICATED,"atovaquone, rifampin"
Endothelin Receptor Antagonist,Phosphodiesterase 5 Inhibitor,2,CONTRAINDICATED,"sildenafil, tadalafil"
Calcineurin Inhibitor Immunosuppressant,Endothelin Receptor Antagonist,2,CONTRAINDICATED,"ambrisentan, cyclosporine"
Corticosteroid,Proteasome Inhibitor,2,UNKNOWN,"dexamethasone, prednisone"
Adenosine Receptor Agonist,Pharmacologic Cardiac Stress Test Agent,2,MAJOR,"adenosine, regadenoson"
Adenosine Receptor Agonist,Methylxanthine,2,MAJOR,"adenosine, theophylline"
Adenosine Receptor Agonist,Platelet Aggregation Inhibitor,2,MAJOR,"adenosine, dipyridamole"
Cytochrome P450 3A Inhibitor,Mtor Inhibitor Immunosuppressant,2,CONTRAINDICATED,"ritonavir, sirolimus"
Calcineurin Inhibitor Immunosuppressant,Mtor Inhibitor Immunosuppressant,2,CONTRAINDICATED,"cyclosporine, sirolimus"
Antirheumatic Agent,Hmg-Coa Reductase Inhibitor,2,MODERATE,"rosuvastatin, simvastatin"
Antirheumatic Agent,Glinide,2,MODERATE,"nateglinide, repaglinide"
Antimycobacterial,Central Nervous System Stimulant,2,CONTRAINDICATED,"acetaminophen, isoniazid"
Antimycobacterial,Methylxanthine,2,MAJOR,"isoniazid, theophylline"
Macrolide,Methylxanthine,2,CONTRAINDICATED,"erythromycin, theophylline"
Macrolide,Phosphodiesterase 3 Inhibitor,2,CONTRAINDICATED,"cilostazol, erythromycin"
Aminoglycoside Antibacterial,Loop Diuretic,2,UNKNOWN,"ethacrynic acid, furosemide"
Nonsteroidal Anti-Inflammatory Drug,Purine Antimetabolite,2,MAJOR,"ibu, sulindac"
Dihydropyridine Calcium Channel Blocker,Purine Antimetabolite,2,MAJOR,"nifedipine, nimodipine"
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Purine Antimetabolite,2,MAJOR,"retrovir, zidovudine"
Nucleoside Analog Antiviral,Purine Antimetabolite,2,CONTRAINDICATED,"azathioprine, ribavirin"
Cytochrome P450 3A Inhibitor,Histamine-2 Receptor Antagonist,2,CONTRAINDICATED,"famotidine, ranitidine"
Cytochrome P450 3A Inhibitor,Herpes Simplex Virus Nucleoside Analog Dna Polymerase Inhibitor,2,CONTRAINDICATED,"acyclovir, famciclovir"
Cytochrome P450 3A Inhibitor,Partial Opioid Agonist,2,CONTRAINDICATED,"buprenorphine, ritonavir"
Cannabinoid,Cytochrome P450 3A Inhibitor,2,CONTRAINDICATED,"dronabinol, ritonavir"
Cytochrome P450 3A Inhibitor,Rifamycin Antibacterial,2,CONTRAINDICATED,"rifampin, ritonavir"
Ccr5 Co-Receptor Antagonist,Cytochrome P450 3A Inhibitor,2,CONTRAINDICATED,"maraviroc, ritonavir"
Cytochrome P450 3A Inhibitor,Rifamycin Antimycobacterial,2,CONTRAINDICATED,"rifabutin, ritonavir"
Cytochrome P450 3A Inhibitor,Opioid Agonist,2,CONTRAINDICATED,"fentanyl, ritonavir"
Cytochrome P450 3A Inhibitor,Protease Inhibitor,2,CONTRAINDICATED,"darunavir, ritonavir"
Cytochrome P450 3A Inhibitor,Hepatitis C Virus Nucleotide Analog Ns5B Polymerase Inhibitor,2,CONTRAINDICATED,"ritonavir, vosevi"
Benzodiazepine,Catechol-O-Methyltransferase Inhibitor,2,CONTRAINDICATED,"diazepam, onfi"
Atypical Antipsychotic,Glinide,2,UNKNOWN,"clozapine, olanzapine"
Calcineurin Inhibitor Immunosuppressant,Glinide,2,CONTRAINDICATED,"cyclosporine, repaglinide"
Dihydrofolate Reductase Inhibitor Antibacterial,Glinide,2,CONTRAINDICATED,"repaglinide, trimethoprim"
Progestin,Rifamycin Antimycobacterial,2,CONTRAINDICATED,"norethindrone, rifabutin"
Progestin,Protease Inhibitor,2,CONTRAINDICATED,"darunavir, norethindrone"
Beta-Adrenergic Blocker,Methylxanthine,2,MODERATE,"atenolol, nadolol"
Folate Analog Metabolic Inhibitor,Methylxanthine,2,MAJOR,"methotrexate, theophylline"
Methylxanthine,Rifamycin Antibacterial,2,CONTRAINDICATED,"rifampin, theophylline"
Methylxanthine,Rifamycin Antimycobacterial,2,CONTRAINDICATED,"rifabutin, theophylline"
Blood Viscosity Reducer,Methylxanthine,2,MODERATE,"pentoxifylline, theophylline"
Anti-Epileptic Agent,Dipeptidyl Peptidase 4 Inhibitor,2,MODERATE,"phenytoin, zonisamide"
Carbonic Anhydrase Inhibitor,Dipeptidyl Peptidase 4 Inhibitor,2,MODERATE,"acetazolamide, dichlorphenamide"
Azole Antifungal,Central Alpha-2 Adrenergic Agonist,2,MODERATE,"fluconazole, ketoconazole"
Calcineurin Inhibitor Immunosuppressant,Muscle Relaxant,2,CONTRAINDICATED,"750 mg, usp"
Calcineurin Inhibitor Immunosuppressant,Dihydrofolate Reductase Inhibitor Antibacterial,2,CONTRAINDICATED,"cyclosporine, trimethoprim"
Calcineurin Inhibitor Immunosuppressant,Lipid-Based Polyene Antifungal,2,CONTRAINDICATED,"amphotericin b, cyclosporine"
Antimetabolite Immunosuppressant,Calcineurin Inhibitor Immunosuppressant,2,CONTRAINDICATED,"cyclosporine, mycophenolic acid"
Calcineurin Inhibitor Immunosuppressant,Intestinal Lipase Inhibitor,2,CONTRAINDICATED,"cyclosporine, orlistat"
Dihydrofolate Reductase Inhibitor Antibacterial,Folate Analog Metabolic Inhibitor,2,CONTRAINDICATED,"methotrexate, trimethoprim"
Dihydrofolate Reductase Inhibitor Antimalarial,Folate Analog Metabolic Inhibitor,2,MAJOR,"methotrexate, pyrimethamine"
Loop Diuretic,Potassium Binder,2,MODERATE,"bumetanide, furosemide"
Aldosterone Antagonist,Potassium Binder,2,MODERATE,"eplerenone, spironolactone"
Factor Xa Inhibitor,Potassium Binder,2,MODERATE,"apixaban, rivaroxaban"
Gamma-Aminobutyric Acid A Receptor Agonist,Nonsteroidal Anti-Inflammatory Drug,2,MODERATE,"ibu, ibuprofen"
Glinide,Pyrimidine Synthesis Inhibitor,2,UNKNOWN,"nateglinide, repaglinide"
Pharmacologic Cardiac Stress Test Agent,Platelet Aggregation Inhibitor,2,MAJOR,"dipyridamole, regadenoson"
Anthelmintic,Rifamycin Antibacterial,2,CONTRAINDICATED,"praziquantel, rifampin"
Central Nervous System Stimulant,Proton Pump Inhibitor,2,CONTRAINDICATED,"lansoprazole, omeprazole"
Atypical Antipsychotic,Vesicular Monoamine Transporter 2 Inhibitor,2,CONTRAINDICATED,"olanzapine, risperidone"
Atypical Antipsychotic,Insulin,2,MODERATE,"clozapine, olanzapine"
Azole Antifungal,Leukotriene Receptor Antagonist,2,MODERATE,"fluconazole, itraconazole"
Dihydrofolate Reductase Inhibitor Antibacterial,Sulfonylurea,2,CONTRAINDICATED,"glipizide, glyburide"
Antiarrhythmic,Dihydrofolate Reductase Inhibitor Antibacterial,2,CONTRAINDICATED,"dofetilide, trimethoprim"
Dihydrofolate Reductase Inhibitor Antibacterial,Dihydrofolate Reductase Inhibitor Antimalarial,2,CONTRAINDICATED,"pyrimethamine, trimethoprim"
Muscle Relaxant,Partial Opioid Agonist,2,MAJOR,"metaxalone, usp"
Opioid Antagonist,Partial Opioid Agonist,2,MAJOR,"buprenorphine, buprenorphine and naloxone"
Angiotensin 2 Receptor Blocker,Antiarrhythmic,2,CONTRAINDICATED,"amlodipine, hydrochlorothiazide"
Antiarrhythmic,Histamine-2 Receptor Antagonist,2,CONTRAINDICATED,"cimetidine, ranitidine"
Corticosteroid,Substance P/Neurokinin-1 Receptor Antagonist,2,CONTRAINDICATED,"dexamethasone, methylprednisolone"
Benzodiazepine,Substance P/Neurokinin-1 Receptor Antagonist,2,CONTRAINDICATED,"alprazolam, triazolam"
Microtubule Inhibitor,Substance P/Neurokinin-1 Receptor Antagonist,2,CONTRAINDICATED,"docetaxel, paclitaxel"
Benzodiazepine,Cannabinoid,2,MODERATE,"diazepam, onfi"
Protease Inhibitor,Rifamycin Antibacterial,2,CONTRAINDICATED,"darunavir, rifampin"
Progestin Antagonist,Rifamycin Antibacterial,2,CONTRAINDICATED,"mifepristone, rifampin"
Calcineurin Inhibitor Immunosuppressant,Tetracycline-Class Antibacterial,2,UNKNOWN,"cyclosporine, tacrolimus"
Benzodiazepine,Rifamycin Antimycobacterial,2,CONTRAINDICATED,"diazepam, onfi"
Muscle Relaxant,Rifamycin Antimycobacterial,2,CONTRAINDICATED,"500 mg, usp"
Rifamycin Antimycobacterial,Sulfonylurea,2,CONTRAINDICATED,"glipizide, glyburide"
Protease Inhibitor,Rifamycin Antimycobacterial,2,CONTRAINDICATED,"darunavir, rifabutin"
Anti-Epileptic Agent,Opioid Agonist,2,MAJOR,"lamotrigine, phenytoin"
Hmg-Coa Reductase Inhibitor,Interleukin-6 Receptor Antagonist,2,MODERATE,"lovastatin, simvastatin"
Atypical Antipsychotic,Protease Inhibitor,2,CONTRAINDICATED,"quetiapine, risperidone"
Muscle Relaxant,Protease Inhibitor,2,CONTRAINDICATED,"500 mg, usp"
Peroxisome Proliferator Receptor Alpha Agonist,Protease Inhibitor,2,CONTRAINDICATED,"lopid, pioglitazone"
Kinase Inhibitor,Protease Inhibitor,2,CONTRAINDICATED,"everolimus, nilotinib"
Factor Xa Inhibitor,Protease Inhibitor,2,CONTRAINDICATED,"apixaban, rivaroxaban"
P2Y12 Platelet Inhibitor,Protease Inhibitor,2,CONTRAINDICATED,"clopidogrel, ticagrelor"
Calcineurin Inhibitor Immunosuppressant,Protease Inhibitor,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Interferon Alpha,Nucleoside Analog Antiviral,2,CONTRAINDICATED,"pegasys, ribavirin"
Anti-Epileptic Agent,Noncompetitive Ampa Glutamate Receptor Antagonist,2,MODERATE,"oxcarbazepine, phenytoin"
Calcineurin Inhibitor Immunosuppressant,Echinocandin Antifungal,2,UNKNOWN,"cyclosporine, tacrolimus"
Echinocandin Antifungal,Lipid-Based Polyene Antifungal,2,UNKNOWN,"amphotericin b, amphotericin b liposome"
Anti-Epileptic Agent,Beta Lactamase Inhibitor,2,MODERATE,"valproic, valproic acid"
Beta Lactamase Inhibitor,Estrogen,2,MODERATE,"conjugated, estradiol"
Platinum-Based Drug,Topoisomerase Inhibitor,2,MAJOR,"carboplatin, cisplatin"
Amino Acid,Calcineurin Inhibitor Immunosuppressant,2,MODERATE,"cyclosporine, tacrolimus"
Anti-Epileptic Agent,Histone Deacetylase Inhibitor,2,MAJOR,"valproic, valproic acid"
Hmg-Coa Reductase Inhibitor,Progestin Antagonist,2,CONTRAINDICATED,"lovastatin, simvastatin"
Calcineurin Inhibitor Immunosuppressant,Progestin Antagonist,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Calcineurin Inhibitor Immunosuppressant,Janus Kinase Inhibitor,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Bile Acid Sequestrant,Vitamin D,2,MAJOR,"cholestyramine, questran"
Cystic Fibrosis Transmembrane Conductance Regulator Potentiator,Nonsteroidal Anti-Inflammatory Drug,2,MAJOR,"ibu, ibuprofen"
Cystic Fibrosis Transmembrane Conductance Regulator Potentiator,Sulfonylurea,2,MAJOR,"glimepiride, glipizide"
Cystic Fibrosis Transmembrane Conductance Regulator Potentiator,Fluoroquinolone Antibacterial,2,MAJOR,"ciprofloxacin, levofloxacin"
Calcineurin Inhibitor Immunosuppressant,Cystic Fibrosis Transmembrane Conductance Regulator Potentiator,2,MAJOR,"cyclosporine, tacrolimus"
Calcineurin Inhibitor Immunosuppressant,Hepatitis C Virus Ns5A Inhibitor,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Calcineurin Inhibitor Immunosuppressant,Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor,2,MODERATE,"cyclosporine, tacrolimus"
Proton Pump Inhibitor,Somatostatin Analog,2,MODERATE,"esomeprazole, omeprazole"
Amide Local Anesthetic,Standardized Chemical Allergen,2,UNKNOWN,"bupivacaine, lidocaine"
Alkylating Drug,Standardized Chemical Allergen,2,UNKNOWN,"cyclophosphamide, ifosfamide"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Orexin Receptor Antagonist,2,MAJOR,"efavirenz, etravirine"
Azole Antifungal,Hepatitis C Virus Nucleotide Analog Ns5B Polymerase Inhibitor,2,CONTRAINDICATED,"ketoconazole, voriconazole"
Anti-Epileptic Agent,Hepatitis C Virus Nucleotide Analog Ns5B Polymerase Inhibitor,2,CONTRAINDICATED,"oxcarbazepine, phenytoin"
Calcineurin Inhibitor Immunosuppressant,Hepatitis C Virus Nucleotide Analog Ns5B Polymerase Inhibitor,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Muscle Relaxant,Opioid Antagonist,2,MAJOR,"metaxalone, usp"
Growth Hormone Secretagogue Receptor Agonist,Nonsteroidal Anti-Inflammatory Drug,2,MODERATE,"aspirin, indomethacin"
Growth Hormone Secretagogue Receptor Agonist,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,2,MODERATE,"efavirenz, etravirine"
Hmg-Coa Reductase Inhibitor,Hypoxia-Inducible Factor Prolyl Hydroxylase Inhibitor,2,CONTRAINDICATED,"rosuvastatin, simvastatin"
Hypoxia-Inducible Factor Prolyl Hydroxylase Inhibitor,Peroxisome Proliferator Receptor Alpha Agonist,2,CONTRAINDICATED,"gemfibrozil, lopid"
Adenosine Triphosphate-Citrate Lyase Inhibitor,Bile Acid Sequestrant,2,MAJOR,"cholestyramine, questran"
Azole Antifungal,Soluble Guanylate Cyclase Stimulator,2,CONTRAINDICATED,"itraconazole, ketoconazole"
Phosphodiesterase 5 Inhibitor,Soluble Guanylate Cyclase Stimulator,2,CONTRAINDICATED,"sildenafil, tadalafil"
Azole Antifungal,Beta2-Adrenergic Agonist,2,MAJOR,"itraconazole, ketoconazole"
Monoamine Oxidase Inhibitor,Nonsteroidal Anti-Inflammatory Drug,2,CONTRAINDICATED,"ibu, ibuprofen"
Atypical Antipsychotic,Monoamine Oxidase Inhibitor,2,CONTRAINDICATED,"olanzapine, risperidone"
Anti-Epileptic Agent,Hepatitis C Virus Ns3/4A Protease Inhibitor,2,CONTRAINDICATED,"lamotrigine, phenytoin"
Angiotensin 2 Receptor Blocker,Hepatitis C Virus Ns3/4A Protease Inhibitor,2,CONTRAINDICATED,"amlodipine, valsartan"
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Hepatitis C Virus Ns3/4A Protease Inhibitor,2,CONTRAINDICATED,"abacavir, lamivudine"
Calcineurin Inhibitor Immunosuppressant,Hepatitis C Virus Ns3/4A Protease Inhibitor,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Azole Antifungal,Estrogen Agonist/Antagonist,2,CONTRAINDICATED,"fluconazole, ketoconazole"
Azole Antifungal,Cholinergic Muscarinic Antagonist,2,UNKNOWN,"itraconazole, ketoconazole"
Azole Antifungal,Cytomegalovirus Pul97 Kinase Inhibitor,2,MAJOR,"ketoconazole, voriconazole"
Calcineurin Inhibitor Immunosuppressant,Cytomegalovirus Pul97 Kinase Inhibitor,2,MAJOR,"cyclosporine, tacrolimus"
Cortisol Synthesis Inhibitor,Hmg-Coa Reductase Inhibitor,2,CONTRAINDICATED,"lovastatin, simvastatin"
Cortisol Synthesis Inhibitor,Kinase Inhibitor,2,CONTRAINDICATED,"bosutinib, everolimus"
Cortisol Synthesis Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,2,CONTRAINDICATED,"efavirenz, nevirapine"
Farnesyltransferase Inhibitor,Hmg-Coa Reductase Inhibitor,2,CONTRAINDICATED,"lovastatin, simvastatin"
Calcineurin Inhibitor Immunosuppressant,Cytomegalovirus Dna Terminase Complex Inhibitor,2,CONTRAINDICATED,"cyclosporine, tacrolimus"
Benzodiazepine,Serotonin Reuptake Inhibitor,2,CONTRAINDICATED,"alprazolam, diazepam"
Anti-Epileptic Agent,Renal Dehydropeptidase Inhibitor,2,MODERATE,"valproic, valproic acid"
Slamf7-Directed Immunostimulatory Antibody,Thalidomide Analog,2,MODERATE,"lenalidomide, pomalidomide"
Hmg-Coa Reductase Inhibitor,Thyroid Hormone Receptor Beta Agonist,2,MAJOR,"rosuvastatin, simvastatin"
Peroxisome Proliferator Receptor Alpha Agonist,Thyroid Hormone Receptor Beta Agonist,2,MAJOR,"gemfibrozil, lopid"
Androgen,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,1%
Nonsteroidal Anti-Inflammatory Drug,Peroxisome Proliferator Receptor Alpha Agonist,1,CONTRAINDICATED,lopid
Alpha-Adrenergic Agonist,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,epinephrine
Kinase Inhibitor,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,erlotinib
Nitrofuran Antibacterial,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,nitrofurantoin
Aminosalicylate,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,sulfasalazine
Aluminum Complex,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,sucralfate
Nonsteroidal Anti-Inflammatory Drug,Platinum-Based Drug,1,CONTRAINDICATED,cisplatin
General Anesthetic,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,ultane
Nonsteroidal Anti-Inflammatory Drug,Oxazolidinone Antibacterial,1,CONTRAINDICATED,linezolid
Nonsteroidal Anti-Inflammatory Drug,P2Y12 Platelet Inhibitor,1,CONTRAINDICATED,clopidogrel
Nonsteroidal Anti-Inflammatory Drug,Sulfone,1,CONTRAINDICATED,dapsone
Bile Acid Sequestrant,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,cholestyramine
Adenosine Receptor Agonist,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,adenosine
Nonsteroidal Anti-Inflammatory Drug,Pharmacologic Cardiac Stress Test Agent,1,CONTRAINDICATED,regadenoson
Macrolide,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,erythromycin
Antimetabolite,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,hydroxyurea
Cytochrome P450 3A Inhibitor,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,ritonavir
Nonsteroidal Anti-Inflammatory Drug,Phosphodiesterase 3 Inhibitor,1,CONTRAINDICATED,cilostazol
Nonsteroidal Anti-Inflammatory Drug,Partial Opioid Agonist,1,CONTRAINDICATED,buprenorphine
Nonsteroidal Anti-Inflammatory Drug,Rifamycin Antibacterial,1,CONTRAINDICATED,rifampin
Lipid-Based Polyene Antifungal,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,amphotericin b
Glycopeptide Antibacterial,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,vancomycin
Nonsteroidal Anti-Inflammatory Drug,Vasoconstrictor,1,CONTRAINDICATED,angiotensin ii
Antimetabolite Immunosuppressant,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,mycophenolic acid
Atypical Antipsychotic,Corticosteroid,1,MAJOR,quetiapine
Corticosteroid,Quinolone Antimicrobial,1,MAJOR,ofloxacin
Cardiac Glycoside,Corticosteroid,1,MAJOR,digoxin
Bile Acid Sequestrant,Corticosteroid,1,MAJOR,cholestyramine
Antimycobacterial,Corticosteroid,1,MAJOR,isoniazid
Corticosteroid,Rifamycin Antibacterial,1,MAJOR,rifampin
Corticosteroid,Lipid-Based Polyene Antifungal,1,MAJOR,amphotericin b
Alpha-1 Adrenergic Agonist,Corticosteroid,1,MAJOR,solution
Androgen,Benzodiazepine,1,CONTRAINDICATED,1%
Benzodiazepine,Peroxisome Proliferator Receptor Alpha Agonist,1,CONTRAINDICATED,lopid
Benzodiazepine,Dihydropyridine Calcium Channel Blocker,1,CONTRAINDICATED,nifedipine
Amide Local Anesthetic,Benzodiazepine,1,CONTRAINDICATED,lidocaine
Benzodiazepine,General Anesthetic,1,CONTRAINDICATED,ultane
Anticholinergic,Benzodiazepine,1,CONTRAINDICATED,scopolamine
Antimycobacterial,Benzodiazepine,1,CONTRAINDICATED,isoniazid
Benzodiazepine,Progestin,1,CONTRAINDICATED,norethindrone
Benzodiazepine,Calcineurin Inhibitor Immunosuppressant,1,CONTRAINDICATED,cyclosporine
Benzodiazepine,Partial Opioid Agonist,1,CONTRAINDICATED,buprenorphine
Benzodiazepine,Opioid Agonist,1,CONTRAINDICATED,fentanyl
Aldehyde Dehydrogenase Inhibitor,Benzodiazepine,1,CONTRAINDICATED,disulfiram
