source,target,weight,severity,shared_drugs
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Protease Inhibitor,6,CONTRAINDICATED,"darunavir, emtricitabine, retrovir, rilpivirine, tenofovir disoproxil fumarate, zidovudine"
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,6,CONTRAINDICATED,"abacavir, efavirenz, entecavir, etravirine, lamivudine, nevirapine"
Anti-Epileptic Agent,Nonsteroidal Anti-Inflammatory Drug,5,CONTRAINDICATED,"aspirin, ibu, phenytoin, valproic, valproic acid"
Nonsteroidal Anti-Inflammatory Drug,Sulfonylurea,5,CONTRAINDICATED,"glimepiride, glipizide, glyburide, ibu, ibuprofen"
Corticosteroid,Cytochrome P450 3A Inhibitor,5,CONTRAINDICATED,"budesonide, dexamethasone, methylprednisolone, prednisone, ritonavir"
Atypical Antipsychotic,Benzodiazepine,5,CONTRAINDICATED,"alprazolam, clozapine, diazepam, lorazepam, onfi"
Benzodiazepine,Histamine-2 Receptor Antagonist,5,CONTRAINDICATED,"cimetidine, diazepam, lorazepam, ranitidine, triazolam"
Benzodiazepine,Macrolide Antimicrobial,5,CONTRAINDICATED,"alprazolam, clarithromycin, lorazepam, temazepam, triazolam"
Benzodiazepine,Cytochrome P450 3A Inhibitor,5,CONTRAINDICATED,"clonazepam, diazepam, estazolam, ritonavir, triazolam"
Nonsteroidal Anti-Inflammatory Drug,Thiazide Diuretic,5,MAJOR,"aspirin, ibu, indomethacin, naproxen, sulindac"
Atypical Antipsychotic,Azole Antifungal,5,CONTRAINDICATED,"aripiprazole, itraconazole, ketoconazole, quetiapine, risperidone"
Azole Antifungal,Sulfonylurea,5,CONTRAINDICATED,"diflucan, fluconazole, glipizide, glyburide, voriconazole"
Azole Antifungal,Proton Pump Inhibitor,5,CONTRAINDICATED,"esomeprazole, itraconazole, ketoconazole, omeprazole, voriconazole"
Azole Antifungal,Mood Stabilizer,5,CONTRAINDICATED,"carbamazepine, fluconazole, itraconazole, ketoconazole, voriconazole"
Azole Antifungal,Glinide,5,CONTRAINDICATED,"fluconazole, itraconazole, ketoconazole, repaglinide, voriconazole"
Azole Antifungal,Progestin,5,CONTRAINDICATED,"fluconazole, itraconazole, ketoconazole, norethindrone, voriconazole"
Anti-Epileptic Agent,Cytochrome P450 3A Inhibitor,5,CONTRAINDICATED,"ethosuximide, lamotrigine, oxcarbazepine, phenytoin, ritonavir"
P2Y12 Platelet Inhibitor,Proton Pump Inhibitor,5,CONTRAINDICATED,"clopidogrel, dexlansoprazole, esomeprazole, lansoprazole, omeprazole"
Hmg-Coa Reductase Inhibitor,Peroxisome Proliferator Receptor Alpha Agonist,5,CONTRAINDICATED,"fenofibrate, fenofibric acid, gemfibrozil, rosuvastatin, simvastatin"
Histamine-2 Receptor Antagonist,Kinase Inhibitor,5,CONTRAINDICATED,"erlotinib, famotidine, gefitinib, nilotinib, ranitidine"
Histamine-2 Receptor Antagonist,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,5,CONTRAINDICATED,"cimetidine, famotidine, nizatidine, ranitidine, rilpivirine"
Histamine-2 Receptor Antagonist,Methylxanthine,5,MAJOR,"cimetidine, famotidine, nizatidine, ranitidine, theophylline"
Nitrate Vasodilator,Phosphodiesterase 5 Inhibitor,5,CONTRAINDICATED,"avanafil, nitroglycerin, sildenafil, tadalafil, vardenafil hydrochloride"
Cytochrome P450 3A Inhibitor,Phosphodiesterase 5 Inhibitor,5,CONTRAINDICATED,"adcirca, avanafil, ritonavir, sildenafil, tadalafil"
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,5,CONTRAINDICATED,"entecavir, retrovir, rilpivirine, tenofovir disoproxil fumarate, zidovudine"
Hepatitis C Virus Nucleotide Analog Ns5B Polymerase Inhibitor,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,5,CONTRAINDICATED,"emtricitabine, retrovir, rilpivirine, tenofovir disoproxil fumarate, vosevi"
Cytochrome P450 3A Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,5,CONTRAINDICATED,"efavirenz, etravirine, kaletra, nevirapine, ritonavir"
Hepatitis C Virus Ns5A Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,5,CONTRAINDICATED,"efavirenz, epclusa, etravirine, harvoni, ledipasvir and sofosbuvir"
